admin_zone_id,pctdif_distance
ZW150318,1.0
ZW170117,1.0
ZW110433,1.0
ZW120812,1.0
ZW150428,1.0
ZW150718,1.0
ZW102103,1.0
ZW102101,1.0
ZW180317,1.0
ZW180314,1.0
ZW160113,1.0
ZW180616,1.0
ZW170818,1.0
ZW150301,1.0
ZW180126,1.0
ZW180125,1.0
ZW170202,1.0
ZW150104,1.0
ZW150409,1.0
ZW150405,1.0
ZW102105,1.0
ZW120324,1.0
ZW140502,1.0
ZW120316,1.0
ZW160520,1.0
ZW160519,1.0
ZW150102,1.0
ZW160604,1.0
ZW160602,1.0
ZW102104,1.0
ZW170816,1.0
ZW110321,1.0
ZW110320,1.0
ZW110323,1.0
ZW180519,1.0
ZW180512,1.0
ZW180331,1.0
ZW180522,1.0
ZW160415,1.0
ZW160423,1.0
ZW180315,1.0
ZW180318,1.0
ZW150319,1.0
ZW150317,1.0
ZW150121,1.0
ZW150311,1.0
ZW170636,1.0
ZW170602,1.0
ZW160625,1.0
ZW160615,1.0
ZW160709,1.0
ZW160623,1.0
ZW160622,1.0
ZW160317,1.0
ZW170819,1.0
ZW170815,1.0
ZW160605,1.0
ZW170817,1.0
ZW150608,1.0
ZW150601,1.0
ZW150607,1.0
ZW160222,1.0
ZW160208,1.0
ZW150424,1.0
ZW150408,1.0
ZW150413,1.0
ZW150401,1.0
ZW160720,1.0
ZW160515,1.0
ZW160706,1.0
ZW150610,1.0
ZW150119,1.0
ZW150316,1.0
ZW160110,1.0
ZW160112,1.0
ZW160116,1.0
ZW110317,1.0
ZW110316,1.0
ZW180325,1.0
ZW150609,1.0
ZW150603,1.0
ZW170814,1.0
ZW170634,1.0
ZW170630,1.0
ZW170631,1.0
ZW160414,1.0
ZW160708,1.0
ZW170601,1.0
ZW160510,1.0
ZW160310,1.0
ZW180224,1.0
ZW180232,1.0
ZW180521,1.0
ZW180511,1.0
ZW160418,1.0
ZW160417,1.0
ZW160106,1.0
ZW160107,1.0
ZW160103,1.0
ZW160101,1.0
ZW180328,1.0
ZW180717,1.0
ZW180724,1.0
ZW180723,1.0
ZW180102,1.0
ZW180721,1.0
ZW180613,1.0
ZW180326,1.0
ZW180324,1.0
ZW170717,1.0
ZW170415,1.0
ZW150516,1.0
ZW150527,1.0
ZW150523,1.0
ZW140221,1.0
ZW140203,1.0
ZW172304,1.0
ZW170503,1.0
ZW170416,1.0
ZW102102,1.0
ZW172308,1.0
ZW170302,1.0
ZW170326,1.0
ZW170608,1.0
ZW170616,1.0
ZW170627,1.0
ZW150210,1.0
ZW150201,1.0
ZW170305,1.0
ZW170320,1.0
ZW172105,1.0
ZW172104,1.0
ZW170101,1.0
ZW170701,1.0
ZW170328,1.0
ZW170509,1.0
ZW180725,1.0
ZW180720,1.0
ZW180523,1.0
ZW180525,1.0
ZW180531,1.0
ZW150710,1.0
ZW150205,1.0
ZW170716,1.0
ZW170118,1.0
ZW170111,1.0
ZW150515,1.0
ZW170418,1.0
ZW170330,1.0
ZW150220,1.0
ZW170504,1.0
ZW170531,1.0
ZW142715,1.0
ZW160521,1.0
ZW170417,1.0
ZW180728,1.0
ZW180524,1.0
ZW180730,1.0
ZW180220,1.0
ZW170508,1.0
ZW170325,1.0
ZW170327,1.0
ZW142710,1.0
ZW142712,1.0
ZW150507,1.0
ZW150526,1.0
ZW150209,1.0
ZW150208,1.0
ZW150219,1.0
ZW170401,1.0
ZW170419,1.0
ZW180403,1.0
ZW180409,1.0
ZW130622,1.0
ZW130623,1.0
ZW130813,1.0
ZW130814,1.0
ZW130812,1.0
ZW130820,1.0
ZW110431,1.0
ZW110112,1.0
ZW110439,1.0
ZW110425,1.0
ZW180416,1.0
ZW110124,1.0
ZW110437,1.0
ZW110121,1.0
ZW110421,1.0
ZW110419,1.0
ZW180506,1.0
ZW182110,1.0
ZW180507,1.0
ZW182109,1.0
ZW140102,1.0
ZW140101,1.0
ZW110415,1.0
ZW130101,1.0
ZW110118,1.0
ZW110132,1.0
ZW142701,1.0
ZW102110,1.0
ZW110126,1.0
ZW180120,1.0
ZW180432,1.0
ZW170102,1.0
ZW182108,1.0
ZW130113,1.0
ZW130108,1.0
ZW110529,1.0
ZW110202,1.0
ZW110201,1.0
ZW130312,1.0
ZW110612,1.0
ZW110614,1.0
ZW110522,1.0
ZW110123,1.0
ZW110524,1.0
ZW110530,1.0
ZW182105,1.0
ZW182103,1.0
ZW110613,1.0
ZW130408,1.0
ZW110726,1.0
ZW140106,1.0
ZW130314,1.0
ZW110420,1.0
ZW182106,1.0
ZW180412,1.0
ZW110119,1.0
ZW180406,1.0
ZW180407,1.0
ZW130313,1.0
ZW110428,1.0
ZW180405,1.0
ZW150124,1.0
ZW150106,1.0
ZW150105,1.0
ZW110412,1.0
ZW140205,1.0
ZW142610,1.0
ZW140501,1.0
ZW140207,1.0
ZW170106,1.0
ZW170309,1.0
ZW170204,1.0
ZW142609,1.0
ZW140518,1.0
ZW170222,1.0
ZW170214,1.0
ZW170215,1.0
ZW182101,1.0
ZW180124,1.0
ZW110528,1.0
ZW180401,1.0
ZW110120,1.0
ZW110122,1.0
ZW110611,1.0
ZW110609,1.0
ZW110438,1.0
ZW142608,1.0
ZW140620,1.0
ZW140619,1.0
ZW140633,1.0
ZW130624,1.0
ZW130617,1.0
ZW130202,1.0
ZW130201,1.0
ZW140510,1.0
ZW142816,1.0
ZW170205,1.0
ZW170203,1.0
ZW140208,1.0
ZW140204,1.0
ZW140516,1.0
ZW140508,1.0
ZW120602,1.0
ZW102129,1.0
ZW102114,1.0
ZW130621,1.0
ZW130604,1.0
ZW130603,1.0
ZW102108,1.0
ZW130204,1.0
ZW130605,1.0
ZW130606,1.0
ZW130719,1.0
ZW130724,1.0
ZW130610,1.0
ZW130726,1.0
ZW130917,1.0
ZW130916,1.0
ZW120229,1.0
ZW120321,1.0
ZW130205,1.0
ZW120419,1.0
ZW120509,1.0
ZW120517,1.0
ZW120518,1.0
ZW120608,1.0
ZW120116,1.0
ZW120115,1.0
ZW120117,1.0
ZW120538,1.0
ZW120537,1.0
ZW120609,1.0
ZW120434,1.0
ZW120423,1.0
ZW120611,1.0
ZW120610,1.0
ZW140115,1.0
ZW140625,1.0
ZW120303,1.0
ZW120510,1.0
ZW120515,1.0
ZW110703,1.0
ZW110705,1.0
ZW130210,1.0
ZW120617,1.0
ZW120607,1.0
ZW120426,1.0
ZW120429,1.0
ZW120530,1.0
ZW120716,1.0
ZW120622,1.0
ZW160108,1.0
ZW160114,1.0
ZW102109,1.0
ZW170506,1.0
ZW170324,1.0
ZW120212,1.0
ZW120211,1.0
ZW120606,1.0
ZW130618,1.0
ZW120512,1.0
ZW130612,1.0
ZW120304,1.0
ZW120302,1.0
ZW130725,1.0
ZW120225,1.0
ZW120216,1.0
ZW120519,1.0
ZW120318,1.0
ZW102118,1.0
ZW150611,1.0
ZW130607,1.0
ZW130206,1.0
ZW120536,1.0
ZW130211,1.0
ZW130619,1.0
ZW120620,1.0
ZW120430,1.0
ZW120424,1.0
ZW120431,1.0
ZW120314,1.0
ZW120301,1.0
ZW162203,1.0
ZW160115,1.0
ZW162202,1.0
ZW160416,1.0
ZW160109,1.0
ZW160420,1.0
ZW162205,1.0
ZW102117,1.0
ZW102119,1.0
ZW160424,1.0
ZW162206,1.0
ZW160105,1.0
ZW162204,1.0
ZW160619,1.0
ZW150622,1.0
ZW150606,1.0
ZW162201,1.0
ZW180535,1.0
ZW150616,1.0
ZW150614,1.0
ZW180210,1.0
ZW180212,1.0
ZW180211,1.0
ZW170632,1.0
ZW160601,1.0
ZW160411,1.0
ZW102116,1.0
ZW180213,1.0
ZW160311,1.0
ZW160315,1.0
ZW140311,1.0
ZW140317,1.0
ZW160616,1.0
ZW160617,1.0
ZW160613,1.0
ZW160621,1.0
ZW160614,1.0
ZW160626,1.0
ZW160307,1.0
ZW160607,1.0
ZW162110,1.0
ZW162102,1.0
ZW160606,1.0
ZW160305,1.0
ZW160612,1.0
ZW160611,1.0
ZW160609,1.0
ZW160608,1.0
ZW182104,1.0
ZW162305,1.0
ZW160312,1.0
ZW160618,1.0
ZW160301,1.0
ZW160314,1.0
ZW160303,1.0
ZW160603,1.0
ZW162104,1.0
ZW170613,1.0
ZW160509,1.0
ZW160711,1.0
ZW160707,1.0
ZW160404,1.0
ZW160713,1.0
ZW160710,1.0
ZW182208,1.0
ZW182205,1.0
ZW182207,1.0
ZW160402,1.0
ZW160421,1.0
ZW162105,1.0
ZW182206,1.0
ZW142801,1.0
ZW140315,1.0
ZW160511,1.0
ZW160506,1.0
ZW160503,1.0
ZW160401,1.0
ZW160410,1.0
ZW180618,1.0
ZW180614,1.0
ZW110715,1.0
ZW160505,1.0
ZW160512,1.0
ZW162103,1.0
ZW160408,1.0
ZW162109,1.0
ZW162108,1.0
ZW160422,1.0
ZW162101,1.0
ZW160413,1.0
ZW160409,1.0
ZW170606,1.0
ZW170605,1.0
ZW110404,1.0
ZW110402,1.0
ZW182107,1.0
ZW180514,1.0
ZW180431,1.0
ZW180430,1.0
ZW180718,1.0
ZW180516,1.0
ZW180515,1.0
ZW180114,1.0
ZW180107,1.0
ZW180108,1.0
ZW180104,1.0
ZW180129,1.0
ZW180128,1.0
ZW180110,1.0
ZW180702,1.0
ZW180715,1.0
ZW180411,1.0
ZW180415,1.0
ZW120312,1.0
ZW180121,1.0
ZW180118,1.0
ZW180111,1.0
ZW180130,1.0
ZW180112,1.0
ZW180122,1.0
ZW180508,1.0
ZW180425,1.0
ZW180109,1.0
ZW180113,1.0
ZW180132,1.0
ZW180116,1.0
ZW180117,1.0
ZW180426,1.0
ZW180428,1.0
ZW110619,1.0
ZW130301,1.0
ZW130102,1.0
ZW110627,1.0
ZW110608,1.0
ZW110616,1.0
ZW110426,1.0
ZW150309,1.0
ZW152101,1.0
ZW142101,1.0
ZW142102,1.0
ZW110414,1.0
ZW130303,1.0
ZW130302,1.0
ZW130407,1.0
ZW130315,1.0
ZW130309,1.0
ZW152103,1.0
ZW152106,1.0
ZW130304,1.0
ZW130103,1.0
ZW130308,1.0
ZW130307,1.0
ZW110424,1.0
ZW130123,1.0
ZW130311,1.0
ZW130105,1.0
ZW130125,1.0
ZW130122,1.0
ZW130128,1.0
ZW130409,1.0
ZW130412,1.0
ZW130815,1.0
ZW130819,1.0
ZW130410,1.0
ZW130405,1.0
ZW132106,1.0
ZW130419,1.0
ZW132108,1.0
ZW130420,1.0
ZW130818,1.0
ZW140635,1.0
ZW192401,1.0
ZW192206,1.0
ZW130810,1.0
ZW192212,1.0
ZW192218,1.0
ZW130808,1.0
ZW192224,1.0
ZW192223,1.0
ZW192222,1.0
ZW192121,1.0
ZW192120,1.0
ZW132608,1.0
ZW192146,1.0
ZW130215,1.0
ZW192122,1.0
ZW192307,1.0
ZW192109,1.0
ZW120315,1.0
ZW140617,1.0
ZW140623,1.0
ZW140622,1.0
ZW140509,1.0
ZW142115,1.0
ZW140630,1.0
ZW140618,1.0
ZW120307,1.0
ZW120322,1.0
ZW142111,1.0
ZW142103,1.0
ZW142113,1.0
ZW142105,1.0
ZW142114,1.0
ZW142109,1.0
ZW140506,1.0
ZW142110,1.0
ZW142108,1.0
ZW140631,1.0
ZW142112,1.0
ZW142104,1.0
ZW142107,1.0
ZW142106,1.0
ZW140513,1.0
ZW140504,1.0
ZW140511,1.0
ZW130910,1.0
ZW130913,1.0
ZW122104,1.0
ZW122105,1.0
ZW122107,1.0
ZW120719,1.0
ZW130511,1.0
ZW130517,1.0
ZW120601,1.0
ZW130510,1.0
ZW130502,1.0
ZW130902,1.0
ZW130901,1.0
ZW120618,1.0
ZW130509,1.0
ZW130503,1.0
ZW130905,1.0
ZW130701,1.0
ZW130708,1.0
ZW130713,1.0
ZW130714,1.0
ZW130716,1.0
ZW142406,1.0
ZW142405,1.0
ZW120802,1.0
ZW120803,1.0
ZW120809,1.0
ZW120817,1.0
ZW130715,1.0
ZW130514,1.0
ZW130705,1.0
ZW120317,1.0
ZW120816,1.0
ZW120805,1.0
ZW120813,1.0
ZW120204,1.0
ZW120223,1.0
ZW120201,1.0
ZW130712,1.0
ZW130718,1.0
ZW130711,1.0
ZW130710,1.0
ZW130717,1.0
ZW130723,1.0
ZW120615,1.0
ZW120502,1.0
ZW120503,1.0
ZW120205,1.0
ZW120219,1.0
ZW120814,1.0
ZW120202,1.0
ZW120203,1.0
ZW120612,1.0
ZW120619,1.0
ZW120605,1.0
ZW120604,1.0
ZW142512,1.0
ZW150115,1.0
ZW142802,1.0
ZW140121,1.0
ZW142510,1.0
ZW130630,1.0
ZW130608,1.0
ZW130222,1.0
ZW130224,1.0
ZW130801,1.0
ZW130223,1.0
ZW130221,1.0
ZW130802,1.0
ZW132601,1.0
ZW132602,1.0
ZW130807,1.0
ZW130803,1.0
ZW130804,1.0
ZW132607,1.0
ZW130817,1.0
ZW192304,1.0
ZW192111,1.0
ZW192113,1.0
ZW192302,1.0
ZW192207,1.0
ZW192209,1.0
ZW110401,1.0
ZW110405,1.0
ZW150122,1.0
ZW170219,1.0
ZW170217,1.0
ZW160504,1.0
ZW160502,1.0
ZW160517,1.0
ZW160403,1.0
ZW160516,1.0
ZW180534,1.0
ZW102111,1.0
ZW160501,1.0
ZW160712,1.0
ZW160405,1.0
ZW170635,1.0
ZW160406,1.0
ZW160407,1.0
ZW160508,1.0
ZW180322,1.0
ZW180320,1.0
ZW180323,1.0
ZW180602,1.0
ZW180606,1.0
ZW180605,1.0
ZW180601,1.0
ZW180609,1.0
ZW180611,1.0
ZW180617,1.0
ZW170628,1.0
ZW180603,1.0
ZW180607,1.0
ZW180319,1.0
ZW180608,1.0
ZW170626,1.0
ZW170622,1.0
ZW170624,1.0
ZW170603,1.0
ZW180610,1.0
ZW170617,1.0
ZW170618,1.0
ZW170633,1.0
ZW170629,1.0
ZW170615,1.0
ZW170614,1.0
ZW170623,1.0
ZW170619,1.0
ZW170620,1.0
ZW170604,1.0
ZW170607,1.0
ZW170609,1.0
ZW170610,1.0
ZW170621,1.0
ZW180321,1.0
ZW180526,1.0
ZW180217,1.0
ZW180230,1.0
ZW180227,1.0
ZW110322,1.0
ZW110324,1.0
ZW160215,1.0
ZW160212,1.0
ZW160209,1.0
ZW160210,1.0
ZW160213,1.0
ZW180218,1.0
ZW180228,1.0
ZW180216,1.0
ZW180219,1.0
ZW180206,1.0
ZW180209,1.0
ZW180231,1.0
ZW180529,1.0
ZW180103,1.0
ZW180101,1.0
ZW180731,1.0
ZW180223,1.0
ZW180527,1.0
ZW110723,1.0
ZW180732,1.0
ZW180229,1.0
ZW182202,1.0
ZW182201,1.0
ZW180727,1.0
ZW180222,1.0
ZW110329,1.0
ZW150612,1.0
ZW150621,1.0
ZW110403,1.0
ZW110407,1.0
ZW180203,1.0
ZW110326,1.0
ZW110327,1.0
ZW160218,1.0
ZW150618,1.0
ZW160221,1.0
ZW160216,1.0
ZW160201,1.0
ZW102128,1.0
ZW110409,1.0
ZW110408,1.0
ZW180202,1.0
ZW140202,1.0
ZW140212,1.0
ZW180201,1.0
ZW180225,1.0
ZW180204,1.0
ZW180205,1.0
ZW110315,1.0
ZW160204,1.0
ZW102113,1.0
ZW102127,1.0
ZW102107,1.0
ZW102120,1.0
ZW102121,1.0
ZW102122,1.0
ZW102124,1.0
ZW102123,1.0
ZW140214,1.0
ZW140412,1.0
ZW140217,1.0
ZW102125,1.0
ZW102106,1.0
ZW102115,1.0
ZW160220,1.0
ZW160217,1.0
ZW150620,1.0
ZW160219,1.0
ZW150713,1.0
ZW102126,1.0
ZW150619,1.0
ZW160203,1.0
ZW160202,1.0
ZW160205,1.0
ZW102112,1.0
ZW150613,1.0
ZW150716,1.0
ZW150709,1.0
ZW150214,1.0
ZW150617,1.0
ZW150615,1.0
ZW150712,1.0
ZW150717,1.0
ZW150414,1.0
ZW150415,1.0
ZW150514,1.0
ZW150416,1.0
ZW150417,1.0
ZW172115,1.0
ZW140410,1.0
ZW140215,1.0
ZW160716,1.0
ZW160717,1.0
ZW160715,1.0
ZW160703,1.0
ZW150701,1.0
ZW130306,1.0
ZW130124,1.0
ZW160705,1.0
ZW160704,1.0
ZW150222,1.0
ZW130129,1.0
ZW150708,1.0
ZW150707,1.0
ZW150211,1.0
