admin_zone_id,pctdif_distance
w_1,1.0
w_2,1.0
w_3,1.0
w_4,1.0
w_5,1.0
w_6,1.0
w_7,1.0
w_8,1.0
w_9,1.0
w_10,1.0
w_11,1.0
w_12,1.0
w_13,1.0
w_14,1.0
w_15,1.0
w_16,1.0
w_17,1.0
w_18,1.0
w_19,1.0
w_20,1.0
w_21,1.0
w_22,1.0
w_23,1.0
w_24,1.0
w_25,1.0
w_26,1.0
w_27,1.0
w_28,1.0
w_29,1.0
w_30,1.0
w_31,1.0
w_32,1.0
w_33,1.0
w_34,1.0
w_35,1.0
w_36,1.0
w_37,1.0
w_38,1.0
w_39,1.0
w_40,1.0
w_41,1.0
w_42,1.0
w_43,1.0
w_44,1.0
w_45,1.0
w_46,1.0
w_47,1.0
w_48,1.0
w_49,1.0
w_50,1.0
w_51,1.0
w_52,1.0
w_53,1.0
w_54,1.0
w_55,1.0
w_56,1.0
w_57,1.0
w_58,1.0
w_59,1.0
w_60,1.0
w_61,1.0
w_62,1.0
w_63,1.0
w_64,1.0
w_65,1.0
w_66,1.0
w_67,1.0
w_68,1.0
w_69,1.0
w_70,1.0
w_71,1.0
w_72,1.0
w_73,1.0
w_74,1.0
w_75,1.0
w_76,1.0
w_77,1.0
w_78,1.0
w_79,1.0
w_80,1.0
w_81,1.0
w_82,1.0
w_83,1.0
w_84,1.0
w_85,1.0
w_86,1.0
w_87,1.0
w_88,1.0
w_89,1.0
w_90,1.0
w_91,1.0
w_92,1.0
w_93,1.0
w_94,1.0
w_95,1.0
w_96,1.0
w_97,1.0
w_98,1.0
w_99,1.0
w_100,1.0
