economic_status,movement_probability
ag_estates,1.0
manu_mining_trades,1.0
police_army,1.0
education,1.0
healthcare_social_work,1.0
service_retail,1.0
informal_petty_trade,1.0
subsistence_ag,1.0
unemployed_not_ag,0.8
other,0.8
transport_sector,1.0
office_worker,1.0
students_teachers,1.0
religious,1.0
student,1.0
inactive,1.0
office workers,1
"not working, inactive, not in universe",1
teachers,1
homemakers/housework,1
current students,1
service workers,1
industry workers,1
disabled and not working,1
in the army,1
agriculture workers,1
