admin_zone_id,pctdif_distance
w_000021001,1.0
w_000021002,1.0
w_000021003,1.0
w_000021004,1.0
w_000021005,1.0
w_000021006,1.0
w_000021007,1.0
w_000021008,1.0
w_000021009,1.0
w_000021010,1.0
w_000021011,1.0
w_000021012,1.0
w_000021013,1.0
w_000021014,1.0
w_000021015,1.0
w_000021016,1.0
w_000021017,1.0
w_000021018,1.0
w_000021019,1.0
w_001001001,1.0
w_001001004,1.0
w_001001005,1.0
w_001001006,1.0
w_001001007,1.0
w_001001008,1.0
w_001001009,1.0
w_001002001,1.0
w_001002002,1.0
w_001002003,1.0
w_001002004,1.0
w_001003001,1.0
w_001003002,1.0
w_001003003,1.0
w_001003004,1.0
w_001003006,1.0
w_001003008,1.0
w_001003009,1.0
w_001004001,1.0
w_001004002,1.0
w_001004003,1.0
w_001004004,1.0
w_001004005,1.0
w_001004006,1.0
w_001004007,1.0
w_001005001,1.0
w_001005002,1.0
w_001005004,1.0
w_001005006,1.0
w_001005007,1.0
w_001005008,1.0
w_001006001,1.0
w_001006002,1.0
w_001006003,1.0
w_001006004,1.0
w_001007001,1.0
w_001007002,1.0
w_001007003,1.0
w_001007004,1.0
w_001007005,1.0
w_001021001,1.0
w_001021002,1.0
w_001021003,1.0
w_001021004,1.0
w_001021005,1.0
w_001021006,1.0
w_001022001,1.0
w_001023001,1.0
w_002001001,1.0
w_002001002,1.0
w_002001003,1.0
w_002001004,1.0
w_002002002,1.0
w_002002003,1.0
w_002002004,1.0
w_002003001,1.0
w_002003002,1.0
w_002003004,1.0
w_002003005,1.0
w_002004001,1.0
w_002004002,1.0
w_002004003,1.0
w_002004004,1.0
w_002004005,1.0
w_002004006,1.0
w_002005001,1.0
w_002005002,1.0
w_002005003,1.0
w_002005005,1.0
w_002005006,1.0
w_002006001,1.0
w_002006002,1.0
w_002007001,1.0
w_002007002,1.0
w_002007003,1.0
w_002008001,1.0
w_002008002,1.0
w_002008003,1.0
w_002021001,1.0
w_003001001,1.0
w_003001002,1.0
w_003001003,1.0
w_003002001,1.0
w_003002002,1.0
w_003002003,1.0
w_003002004,1.0
w_003002005,1.0
w_003002006,1.0
w_003002007,1.0
w_003003001,1.0
w_003003002,1.0
w_003004001,1.0
w_003004002,1.0
w_003004003,1.0
w_003004004,1.0
w_003005001,1.0
w_003005002,1.0
w_003005004,1.0
w_003006001,1.0
w_003006003,1.0
w_003006004,1.0
w_003006005,1.0
w_003006006,1.0
w_003007001,1.0
w_003007002,1.0
w_003007004,1.0
w_003007005,1.0
w_003008001,1.0
w_003008002,1.0
w_003008003,1.0
w_003008004,1.0
w_003009001,1.0
w_003009002,1.0
w_003021001,1.0
w_003021002,1.0
w_003023001,1.0
w_003023002,1.0
w_004001001,1.0
w_004001002,1.0
w_004001003,1.0
w_004001004,1.0
w_004001005,1.0
w_004002001,1.0
w_004002002,1.0
w_004002003,1.0
w_004002004,1.0
w_004002005,1.0
w_004002008,1.0
w_004002009,1.0
w_004002010,1.0
w_004002011,1.0
w_004003001,1.0
w_004003002,1.0
w_004003004,1.0
w_004004001,1.0
w_004005001,1.0
w_004005002,1.0
w_004005003,1.0
w_004005004,1.0
w_004006001,1.0
w_004006002,1.0
w_004006003,1.0
w_004006004,1.0
w_004006005,1.0
w_004006006,1.0
w_004006007,1.0
w_004006008,1.0
w_004007001,1.0
w_004007002,1.0
w_004007003,1.0
w_004021001,1.0
w_004021002,1.0
w_004022001,1.0
w_004022002,1.0
w_004022003,1.0
w_004023001,1.0
w_004023002,1.0
w_004024001,1.0
w_004025001,1.0
w_004025002,1.0
w_005001001,1.0
w_005001002,1.0
w_005001003,1.0
w_005002001,1.0
w_005002002,1.0
w_005003001,1.0
w_005004001,1.0
w_005004002,1.0
w_005004003,1.0
w_005005001,1.0
w_005005002,1.0
w_005005003,1.0
w_005005004,1.0
w_005006001,1.0
w_005006003,1.0
w_005006004,1.0
w_005007001,1.0
w_005007002,1.0
w_005007003,1.0
w_005021001,1.0
w_005022001,1.0
w_006001001,1.0
w_006001002,1.0
w_006001003,1.0
w_006002001,1.0
w_006002002,1.0
w_006002003,1.0
w_006003001,1.0
w_006003002,1.0
w_006004001,1.0
w_006004002,1.0
w_006004003,1.0
w_006005001,1.0
w_006005003,1.0
w_006006001,1.0
w_006006002,1.0
w_006006003,1.0
w_006006004,1.0
w_006007001,1.0
w_006007002,1.0
w_006021001,1.0
w_006022001,1.0
w_007001001,1.0
w_007001002,1.0
w_007001003,1.0
w_007002001,1.0
w_007002002,1.0
w_007002005,1.0
w_007002007,1.0
w_007003001,1.0
w_007003003,1.0
w_007003004,1.0
w_007003005,1.0
w_007003008,1.0
w_007003009,1.0
w_007003010,1.0
w_007004001,1.0
w_007004002,1.0
w_007004003,1.0
w_007005001,1.0
w_007005002,1.0
w_007005003,1.0
w_007005005,1.0
w_007005006,1.0
w_007005007,1.0
w_007006002,1.0
w_007006003,1.0
w_007006005,1.0
w_007006006,1.0
w_007007001,1.0
w_007007002,1.0
w_007008001,1.0
w_007008002,1.0
w_007021001,1.0
w_007021002,1.0
w_007021003,1.0
w_007021004,1.0
w_007021005,1.0
w_007022001,1.0
w_007022002,1.0
w_007022003,1.0
w_007023001,1.0
w_007024001,1.0
w_007025001,1.0
w_007026001,1.0
w_008001001,1.0
w_008001002,1.0
w_008001003,1.0
w_008001004,1.0
w_008001005,1.0
w_008002001,1.0
w_008002002,1.0
w_008002003,1.0
w_008002004,1.0
w_008002005,1.0
w_008002006,1.0
w_008002007,1.0
w_008002008,1.0
w_008002009,1.0
w_008003001,1.0
w_008003002,1.0
w_008003004,1.0
w_008004001,1.0
w_008004003,1.0
w_008004004,1.0
w_008004005,1.0
w_008004006,1.0
w_008004008,1.0
w_008005001,1.0
w_008005002,1.0
w_008005003,1.0
w_008005004,1.0
w_008005005,1.0
w_008005006,1.0
w_008005007,1.0
w_008006001,1.0
w_008006002,1.0
w_008006003,1.0
w_008006004,1.0
w_008006005,1.0
w_008007001,1.0
w_008007002,1.0
w_008007003,1.0
w_008021001,1.0
w_008021002,1.0
w_008021003,1.0
w_008022001,1.0
w_009001001,1.0
w_009021001,1.0
w_009021002,1.0
w_009021003,1.0
w_009021004,1.0
w_009021005,1.0
w_009021006,1.0
w_009021007,1.0
w_009021008,1.0
w_009021009,1.0
w_009021010,1.0
w_009021011,1.0
w_009021012,1.0
w_009021013,1.0
w_009021014,1.0
w_009021015,1.0
w_009021016,1.0
w_009021017,1.0
w_009021018,1.0
w_009021019,1.0
w_009021020,1.0
w_009021021,1.0
w_009021022,1.0
w_009021023,1.0
w_009021024,1.0
w_009021025,1.0
w_009021026,1.0
w_009021027,1.0
w_009021028,1.0
w_009021029,1.0
w_009021030,1.0
w_009021031,1.0
w_009021032,1.0
w_009021033,1.0
w_009021034,1.0
w_009021035,1.0
w_009021036,1.0
w_009021037,1.0
w_009021038,1.0
w_009021039,1.0
w_009021040,1.0
w_009021041,1.0
w_009022001,1.0
w_009022002,1.0
w_009022003,1.0
w_009022004,1.0
w_009022005,1.0
w_009022006,1.0
w_009022007,1.0
w_009022008,1.0
