,person_id,age,sex,household_id,workplace_id,district_id,economic_status,economic_activity_location_id,school_goers,manufacturing_workers
0,0,27,female,1146000,district_1_Office workers_1,1,Office workers,1.0,0,0.0
1,1,40,male,2300000,district_2_Office workers_4,2,Office workers,1.0,0,0.0
2,2,20,male,4198000,"district_1_Not working, inactive, not in universe_2",1,"Not working, inactive, not in universe",1.0,0,0.0
3,3,41,female,3465000,district_1_Teachers_3,1,Teachers,1.0,1,0.0
4,4,15,female,882000,"district_2_Not working, inactive, not in universe_3",2,"Not working, inactive, not in universe",1.0,0,0.0
5,5,23,female,2524000,district_1_Homemakers/Housework_4,1,Homemakers/Housework,1.0,0,0.0
6,6,16,female,4751000,district_1_Current Students_4,1,Current Students,1.0,1,0.0
7,7,19,female,902000,district_2_Current Students_4,2,Current Students,1.0,1,0.0
8,8,57,female,6668000,district_1_Service workers_5,1,Service workers,1.0,0,0.0
9,9,27,female,1146000,district_1_Office workers_1,1,Office workers,1.0,0,0.0
10,10,40,male,2300000,district_2_Office workers_5,2,Office workers,1.0,0,0.0
11,11,20,male,4198000,"district_1_Not working, inactive, not in universe_4",1,"Not working, inactive, not in universe",1.0,0,0.0
12,12,41,female,3465000,district_1_Teachers_5,1,Teachers,1.0,1,0.0
13,13,15,female,882000,"district_2_Not working, inactive, not in universe_4",2,"Not working, inactive, not in universe",1.0,0,0.0
14,14,23,female,2524000,district_1_Homemakers/Housework_5,1,Homemakers/Housework,1.0,0,0.0
15,15,16,female,4751000,district_1_Current Students_5,1,Current Students,1.0,1,0.0
16,16,19,female,902000,district_2_Current Students_4,2,Current Students,1.0,1,0.0
17,17,57,female,6668000,district_1_Service workers_1,1,Service workers,1.0,0,0.0
18,18,27,female,1146000,district_1_Office workers_5,1,Office workers,1.0,0,0.0
19,19,40,male,2300000,district_2_Office workers_1,2,Office workers,1.0,0,0.0
20,20,20,male,4198000,"district_1_Not working, inactive, not in universe_3",1,"Not working, inactive, not in universe",1.0,0,0.0
21,21,41,female,3465000,district_1_Teachers_1,1,Teachers,1.0,1,0.0
22,22,15,female,882000,"district_2_Not working, inactive, not in universe_4",2,"Not working, inactive, not in universe",1.0,0,0.0
23,23,23,female,2524000,district_1_Homemakers/Housework_1,1,Homemakers/Housework,1.0,0,0.0
24,24,16,female,4751000,district_1_Current Students_5,1,Current Students,1.0,1,0.0
25,25,19,female,902000,district_2_Current Students_1,2,Current Students,1.0,1,0.0
26,26,57,female,6668000,district_1_Service workers_3,1,Service workers,1.0,0,0.0
27,27,27,female,1146000,district_1_Office workers_2,1,Office workers,1.0,0,0.0
28,28,40,male,2300000,district_2_Office workers_3,2,Office workers,1.0,0,0.0
29,29,20,male,4198000,"district_1_Not working, inactive, not in universe_3",1,"Not working, inactive, not in universe",1.0,0,0.0
30,30,41,female,3465000,district_1_Teachers_3,1,Teachers,1.0,1,0.0
31,31,15,female,882000,"district_2_Not working, inactive, not in universe_3",2,"Not working, inactive, not in universe",1.0,0,0.0
32,32,23,female,2524000,district_1_Homemakers/Housework_1,1,Homemakers/Housework,1.0,0,0.0
33,33,16,female,4751000,district_1_Current Students_3,1,Current Students,1.0,1,0.0
34,34,19,female,902000,district_2_Current Students_2,2,Current Students,1.0,1,0.0
35,35,57,female,6668000,district_1_Service workers_1,1,Service workers,1.0,0,0.0
36,36,27,female,1146000,district_1_Office workers_5,1,Office workers,1.0,0,0.0
37,37,40,male,2300000,district_2_Office workers_5,2,Office workers,1.0,0,0.0
38,38,20,male,4198000,"district_1_Not working, inactive, not in universe_3",1,"Not working, inactive, not in universe",1.0,0,0.0
39,39,41,female,3465000,district_1_Teachers_4,1,Teachers,1.0,1,0.0
40,40,15,female,882000,"district_2_Not working, inactive, not in universe_2",2,"Not working, inactive, not in universe",1.0,0,0.0
41,41,23,female,2524000,district_1_Homemakers/Housework_3,1,Homemakers/Housework,1.0,0,0.0
42,42,16,female,4751000,district_1_Current Students_3,1,Current Students,1.0,1,0.0
43,43,19,female,902000,district_2_Current Students_2,2,Current Students,1.0,1,0.0
44,44,57,female,6668000,district_1_Service workers_4,1,Service workers,1.0,0,0.0
45,45,27,female,1146000,district_1_Office workers_3,1,Office workers,1.0,0,0.0
46,46,40,male,2300000,district_2_Office workers_1,2,Office workers,1.0,0,0.0
47,47,20,male,4198000,"district_1_Not working, inactive, not in universe_2",1,"Not working, inactive, not in universe",1.0,0,0.0
48,48,41,female,3465000,district_1_Teachers_4,1,Teachers,1.0,1,0.0
49,49,15,female,882000,"district_2_Not working, inactive, not in universe_2",2,"Not working, inactive, not in universe",1.0,0,0.0
50,50,23,female,2524000,district_1_Homemakers/Housework_1,1,Homemakers/Housework,1.0,0,0.0
51,51,16,female,4751000,district_1_Current Students_3,1,Current Students,1.0,1,0.0
52,52,19,female,902000,district_2_Current Students_4,2,Current Students,1.0,1,0.0
53,53,57,female,6668000,district_1_Service workers_5,1,Service workers,1.0,0,0.0
54,54,27,female,1146000,district_1_Office workers_5,1,Office workers,1.0,0,0.0
55,55,40,male,2300000,district_2_Office workers_5,2,Office workers,1.0,0,0.0
56,56,20,male,4198000,"district_1_Not working, inactive, not in universe_4",1,"Not working, inactive, not in universe",1.0,0,0.0
57,57,41,female,3465000,district_1_Teachers_2,1,Teachers,1.0,1,0.0
58,58,15,female,882000,"district_2_Not working, inactive, not in universe_4",2,"Not working, inactive, not in universe",1.0,0,0.0
59,59,23,female,2524000,district_1_Homemakers/Housework_2,1,Homemakers/Housework,1.0,0,0.0
60,60,16,female,4751000,district_1_Current Students_3,1,Current Students,1.0,1,0.0
61,61,19,female,902000,district_2_Current Students_3,2,Current Students,1.0,1,0.0
62,62,57,female,6668000,district_1_Service workers_1,1,Service workers,1.0,0,0.0
63,63,27,female,1146000,district_1_Office workers_5,1,Office workers,1.0,0,0.0
64,64,40,male,2300000,district_2_Office workers_4,2,Office workers,1.0,0,0.0
65,65,20,male,4198000,"district_1_Not working, inactive, not in universe_1",1,"Not working, inactive, not in universe",1.0,0,0.0
66,66,41,female,3465000,district_1_Teachers_5,1,Teachers,1.0,1,0.0
67,67,15,female,882000,"district_2_Not working, inactive, not in universe_3",2,"Not working, inactive, not in universe",1.0,0,0.0
68,68,23,female,2524000,district_1_Homemakers/Housework_5,1,Homemakers/Housework,1.0,0,0.0
69,69,16,female,4751000,district_1_Current Students_2,1,Current Students,1.0,1,0.0
70,70,19,female,902000,district_2_Current Students_3,2,Current Students,1.0,1,0.0
71,71,57,female,6668000,district_1_Service workers_2,1,Service workers,1.0,0,0.0
72,72,27,female,1146000,district_1_Office workers_1,1,Office workers,1.0,0,0.0
73,73,40,male,2300000,district_2_Office workers_5,2,Office workers,1.0,0,0.0
74,74,20,male,4198000,"district_1_Not working, inactive, not in universe_5",1,"Not working, inactive, not in universe",1.0,0,0.0
75,75,41,female,3465000,district_1_Teachers_5,1,Teachers,1.0,1,0.0
76,76,15,female,882000,"district_2_Not working, inactive, not in universe_5",2,"Not working, inactive, not in universe",1.0,0,0.0
77,77,23,female,2524000,district_1_Homemakers/Housework_5,1,Homemakers/Housework,1.0,0,0.0
78,78,16,female,4751000,district_1_Current Students_3,1,Current Students,1.0,1,0.0
