,person_id,age,sex,household_id,workplace_id,district_id,economic_status,school_goers
433371,433371,4,Male,106298000.0,none,58,inactive,0
604067,604067,27,Female,149577000.0,2_student_679,2,student,0
369105,369105,14,Male,91240000.0,49_student_18,49,student,1
268270,268270,26,Female,66890000.0,29_student_12,29,student,0
102479,102479,2,Female,25593000.0,none,9,inactive,0
334579,334579,9,Male,82910000.0,none,43,inactive,0
162595,162595,59,Female,40510000.0,16_student_28,16,student,0
258497,258497,40,Male,64557000.0,27_subsistence_ag_411,27,subsistence_ag,0
13952,13952,37,Male,3809000.0,1_informal_petty_trade_61,1,informal_petty_trade,0
224239,224239,44,Male,56195000.0,23_other_3,23,other,0
64578,64578,19,Male,16204000.0,none,5,unemployed_not_ag,0
147321,147321,6,Male,36870000.0,none,14,inactive,0
261061,261061,26,Male,65118000.0,27_student_20,27,student,0
24834,24834,8,Female,6662000.0,none,1,inactive,0
175196,175196,27,Female,43605000.0,17_healthcare_social_work_1,17,healthcare_social_work,0
421957,421957,11,Male,103725000.0,57_student_54,57,student,1
282738,282738,0,Female,70280000.0,none,31,inactive,0
422566,422566,45,Female,103866000.0,57_subsistence_ag_106,57,subsistence_ag,0
490219,490219,13,Male,120416000.0,35_student_23,35,student,1
118817,118817,10,Female,29882000.0,10_student_14,10,student,1
444952,444952,27,Female,109214000.0,56_office_worker_3,56,office_worker,0
484,484,41,Male,164000.0,1_education_7,1,education,0
57040,57040,5,Female,14533000.0,none,5,inactive,0
150494,150494,29,Female,37612000.0,14_subsistence_ag_216,14,subsistence_ag,0
445286,445286,44,Male,109302000.0,56_student_75,56,student,0
636173,636173,19,Female,157966000.0,2_student_89,2,student,0
603797,603797,34,Male,149506000.0,2_service_retail_93,2,service_retail,0
510350,510350,22,Female,125342000.0,37_subsistence_ag_45,37,subsistence_ag,0
222278,222278,6,Female,55700000.0,none,23,inactive,0
238781,238781,42,Male,59880000.0,26_subsistence_ag_78,26,subsistence_ag,0
618268,618268,3,Female,153189000.0,none,2,inactive,0
585350,585350,11,Female,144753000.0,2_student_139,2,student,1
511226,511226,5,Male,125541000.0,none,37,inactive,0
556373,556373,15,Female,137190000.0,2_student_213,2,student,1
300826,300826,7,Male,74718000.0,none,28,inactive,0
415485,415485,12,Female,102189000.0,56_student_67,56,student,1
312016,312016,21,Female,77675000.0,27_student_124,27,student,0
202285,202285,20,Female,50633000.0,20_subsistence_ag_176,20,subsistence_ag,0
354212,354212,13,Male,87720000.0,47_student_14,47,student,1
106827,106827,59,Female,26789000.0,7_student_52,7,student,0
288438,288438,2,Male,71667000.0,none,31,inactive,0
