age,male,female
0-1,0.20092640655944077,0.05431153207483885
1-4,0.0009647296466557995,0.0010995764041913459
5-9,0.0006652528359207849,0.0012148985994638564
10-14,0.0012685897328030414,0.0010145270797198803
15-29,0.0022714629120342135,0.0013910567989736495
20-24,0.0048571501872833305,0.002763217736989917
25-29,0.0056500916882019645,0.005677375318846679
30-34,0.0030935134667943497,0.004332635953685988
35-39,0.005567924115448444,0.006608180605235995
40-44,0.01262473190772979,0.011631383586778626
45-49,0.01276959817954329,0.008296257319697114
50-54,0.012094836724572063,0.011997620591510192
55-59,0.02142110290018678,0.016501809645933212
60-64,0.04843752030168889,0.023853019131630633
65-69,0.056859315185169894,0.027453317748512347
70-74,0.08888546594628476,0.03264808168506739
75-79,0.04929136805001997,0.12461706403107455
80-84,0.1103288556330409,0.0566420481347326
85-89,0.153404844320782,0.09783219889162069
90-94,0.21098884800377038,0.07681536989851764
95+,0.19748747946368567,0.01333642004003514
