economic_status,"Not working, inactive, not in universe",Current Students,Homemakers/Housework,Office workers,Teachers ,Service Workers,Agriculture Workers,Industry Workers,In the army,Disabled and not working
"Not working, inactive, not in universe",0.71,0.07,0.05,0.02,0.01,0.1,0.04,0,0,0
Current Students,0.04,0.9,0.02,0,0,0.03,0.01,0,0,0
Homemakers/Housework,0.09,0.07,0.52,0.1,0,0.2,0.01,0,0,0.01
Office workers,0.14,0,0.39,0.17,0.03,0.25,0,0.02,0,0
Teachers,0.17,0,0,0.07,0.66,0.1,0,0,0,0
Service Workers,0.11,0.06,0.12,0.04,0.01,0.62,0.02,0.01,0,0.02
Agriculture Workers,0.06,0.03,0.01,0,0,0.03,0.86,0.01,0,0
Industry Workers,0,0,0,0.05,0,0.18,0.13,0.64,0,0
In the army,0,0,0,0,0,0.01,0,0,0.99,0
Disabled and not working,0,0,0.09,0,0,0.3,0,0,0,0.61
