economic_status,"Not working, inactive, not in universe",In School,Homemakers/Housework,Office workers,Teachers ,Service Workers,Agriculture Workers,Indusrtry Workers,In the army,Disabled and not working
"Not working, inactive, not in universe",0.68,0.05,0.05,0.02,0.01,0.15,0.04,0.00,0.00,0.00
Current Students,0.01,0.94,0.02,0.00,0.02,0.01,0.00,0.00,0.00,0.00
Homemakers/Housework,0.05,0.11,0.56,0.05,0.00,0.20,0.01,0.00,0.00,0.01
Office workers,0.06,0.00,0.14,0.61,0.02,0.15,0.00,0.02,0.00,0.00
Teachers,0.02,0.20,0.00,0.01,0.72,0.05,0.00,0.00,0.00,0.00
Service Workers,0.05,0.02,0.06,0.02,0.01,0.82,0.02,0.01,0.00,0.01
Agriculture Workers,0.02,0.00,0.01,0.00,0.00,0.04,0.92,0.01,0.00,0.00
Indusrtry Workers,0.00,0.00,0.00,0.05,0.00,0.22,0.12,0.61,0.00,0.00
In the army,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.97,0.00
Disabled and not working,0.00,0.00,0.19,0.00,0.00,0.33,0.00,0.00,0.00,0.48
