Host	Source	Time	LocOfTransmission
636453	null	-1.0	d_2
719536	null	-1.0	d_2
747106	null	-1.0	d_2
744098	null	-1.0	d_2
630812	null	-1.0	d_2
675910	null	-1.0	d_2
699629	null	-1.0	d_2
734110	null	-1.0	d_2
598506	null	-1.0	d_36
590996	null	-1.0	d_36
1261	null	-1.0	d_1
232803	null	-1.0	d_19
275552	232803	10.0	d_25
598613	598506	13.0	d_36
746110	630812	16.0	d_2
641098	675910	25.0	d_2
697666	675910	27.0	d_2
717658	719536	28.0	d_2
592758	598506	42.0	d_36
747566	744098	45.0	d_2
275652	232803	48.0	d_19
278311	275552	50.19765033090795	d_19
720388	697666	66.10748076868711	d_2
715860	717658	66.87067107093218	d_2
706255	697666	73.10748076868711	d_2
277564	278311	100.3969080678224	d_19
719856	720388	110.88824926649399	d_31
266185	275552	124.0	d_19
276103	278311	131.39690806782238	d_19
278013	277564	161.58809577573675	d_19
278220	278013	199.90424597281452	d_19
277195	278013	230.90424597281452	d_19
509974	598613	297.0	d_34
210024	277195	310.3534244739085	d_25
331965	717658	370.0	d_13
343379	719536	376.0	d_2
692091	747106	646.0	d_31
338748	746110	658.0	d_2
91335	277195	718.0	d_19
