time,metric_new_cases_sympt,metric_new_deaths,metric_died_count
0,8,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,3,0,0
7,4,0,0
8,0,0,0
9,1,0,0
10,0,0,0
11,1,0,0
12,1,0,0
13,4,0,0
14,0,0,0
15,1,0,0
16,1,0,0
17,1,0,0
18,3,0,0
19,0,0,0
20,1,0,0
21,0,0,0
22,1,0,0
23,1,0,0
24,1,0,0
25,3,0,0
26,1,0,0
27,1,0,0
28,1,0,0
29,1,0,0
30,0,0,0
31,1,0,0
32,0,0,0
33,1,0,0
34,4,0,0
35,0,0,0
36,2,0,0
37,3,0,0
38,1,0,0
39,0,0,0
40,5,0,0
41,0,0,0
42,2,0,0
43,3,0,0
44,2,0,0
45,1,0,0
46,3,0,0
47,2,0,0
48,0,0,0
49,2,0,0
50,3,0,0
51,0,0,0
52,1,0,0
53,3,0,0
54,2,0,0
55,1,0,0
56,2,0,0
57,0,0,0
58,2,0,0
59,3,0,0
60,6,0,0
61,4,0,0
62,3,0,0
63,1,0,0
64,3,0,0
65,1,0,0
66,4,1,1
67,3,0,1
68,1,0,1
69,4,0,1
70,5,0,1
71,2,0,1
72,5,0,1
73,14,0,1
74,6,0,1
75,5,0,1
76,10,0,1
77,9,0,1
78,6,0,1
79,9,0,1
80,17,0,1
81,21,1,2
82,11,0,2
83,18,0,2
84,5,0,2
85,12,0,2
86,9,0,2
87,9,0,2
88,11,0,2
89,13,0,2
90,10,0,2
91,14,0,2
92,15,0,2
93,10,0,2
94,7,0,2
95,13,0,2
96,12,0,2
97,18,1,3
98,22,0,3
99,21,0,3
100,30,0,3
101,28,0,3
102,22,0,3
103,12,0,3
104,21,0,3
105,16,0,3
106,16,0,3
107,19,0,3
108,15,0,3
109,17,0,3
110,24,0,3
111,24,0,3
112,22,0,3
113,15,0,3
114,27,0,3
115,18,0,3
116,15,0,3
117,18,0,3
118,23,0,3
119,37,0,3
120,29,0,3
121,23,0,3
122,23,0,3
123,28,0,3
124,25,0,3
125,21,0,3
126,27,0,3
127,27,0,3
128,31,0,3
129,28,0,3
130,29,0,3
131,27,0,3
132,26,0,3
133,27,0,3
134,32,1,4
135,39,0,4
136,26,0,4
137,32,0,4
138,32,0,4
139,31,0,4
140,38,0,4
141,31,1,5
142,41,0,5
143,40,0,5
144,42,0,5
145,43,0,5
146,50,0,5
147,44,1,6
148,55,0,6
149,53,0,6
150,47,0,6
151,62,0,6
152,47,0,6
153,64,0,6
154,66,0,6
155,56,0,6
156,65,0,6
157,52,0,6
158,43,0,6
159,58,0,6
160,63,0,6
161,50,1,7
162,73,0,7
163,70,0,7
164,64,0,7
165,59,1,8
166,72,0,8
167,75,0,8
168,74,0,8
169,89,0,8
170,87,0,8
171,72,0,8
172,84,1,9
173,95,0,9
174,84,0,9
175,106,0,9
176,98,0,9
177,117,0,9
178,96,1,10
179,103,0,10
