,time,myId,metric_died_count,metric_new_hospitalized,metric_new_critical,metric_new_cases_asympt,metric_new_cases_sympt,metric_new_deaths,districtId,seed
0,0,d_38,0,0,0,0,0,0,38,198010m
1,0,d_39,0,0,0,0,0,0,39,198010m
2,0,d_47,0,0,0,0,0,0,47,198010m
3,0,d_48,0,0,0,1,1,0,48,198010m
4,0,d_45,0,0,0,0,0,0,45,198010m
5,0,d_46,0,0,0,0,0,0,46,198010m
6,0,d_43,0,0,0,0,0,0,43,198010m
7,0,d_44,0,0,0,0,0,0,44,198010m
8,0,d_2,0,0,0,3,5,0,2,198010m
9,0,d_41,0,0,0,0,0,0,41,198010m
10,0,d_1,0,0,0,2,0,0,1,198010m
11,0,d_42,0,0,0,0,0,0,42,198010m
12,0,d_4,0,0,0,0,0,0,4,198010m
13,0,d_3,0,0,0,0,0,0,3,198010m
14,0,d_40,0,0,0,0,0,0,40,198010m
15,0,d_6,0,0,0,0,0,0,6,198010m
16,0,d_5,0,0,0,0,0,0,5,198010m
17,0,d_8,0,0,0,0,0,0,8,198010m
18,0,d_7,0,0,0,0,0,0,7,198010m
19,0,d_9,0,0,0,0,0,0,9,198010m
20,0,d_29,0,0,0,0,0,0,29,198010m
21,0,d_27,0,0,0,0,0,0,27,198010m
22,0,d_28,0,0,0,0,0,0,28,198010m
23,0,d_36,0,0,0,0,0,0,36,198010m
24,0,d_37,0,0,0,0,0,0,37,198010m
25,0,d_34,0,0,0,0,0,0,34,198010m
26,0,d_35,0,0,0,0,0,0,35,198010m
27,0,d_32,0,0,0,0,0,0,32,198010m
28,0,d_33,0,0,0,0,0,0,33,198010m
29,0,d_30,0,0,0,0,0,0,30,198010m
30,0,d_31,0,0,0,0,0,0,31,198010m
31,0,d_18,0,0,0,4,4,0,18,198010m
32,0,d_19,0,0,0,0,0,0,19,198010m
33,0,d_16,0,0,0,0,0,0,16,198010m
34,0,d_17,0,0,0,0,0,0,17,198010m
35,0,d_25,0,0,0,0,0,0,25,198010m
36,0,d_26,0,0,0,0,0,0,26,198010m
37,0,d_23,0,0,0,0,0,0,23,198010m
38,0,d_24,0,0,0,0,0,0,24,198010m
39,0,d_21,0,0,0,0,0,0,21,198010m
40,0,d_22,0,0,0,0,0,0,22,198010m
41,0,d_20,0,0,0,0,0,0,20,198010m
42,0,d_60,0,0,0,0,0,0,60,198010m
43,0,d_49,0,0,0,0,0,0,49,198010m
44,0,d_14,0,0,0,0,0,0,14,198010m
45,0,d_58,0,0,0,0,0,0,58,198010m
46,0,d_15,0,0,0,0,0,0,15,198010m
47,0,d_59,0,0,0,0,0,0,59,198010m
48,0,d_12,0,0,0,0,0,0,12,198010m
49,0,d_56,0,0,0,0,0,0,56,198010m
50,0,d_13,0,0,0,0,0,0,13,198010m
51,0,d_57,0,0,0,0,0,0,57,198010m
52,0,d_10,0,0,0,0,0,0,10,198010m
53,0,d_54,0,0,0,0,0,0,54,198010m
54,0,d_11,0,0,0,0,0,0,11,198010m
55,0,d_55,0,0,0,0,0,0,55,198010m
56,0,d_52,0,0,0,0,0,0,52,198010m
57,0,d_53,0,0,0,0,0,0,53,198010m
58,0,d_50,0,0,0,0,0,0,50,198010m
59,0,d_51,0,0,0,0,0,0,51,198010m
60,1,d_38,0,0,0,0,0,0,38,198010m
61,1,d_39,0,0,0,0,0,0,39,198010m
62,1,d_47,0,0,0,0,0,0,47,198010m
63,1,d_48,0,0,0,0,0,0,48,198010m
64,1,d_45,0,0,0,0,0,0,45,198010m
65,1,d_46,0,0,0,0,0,0,46,198010m
66,1,d_43,0,0,0,0,0,0,43,198010m
67,1,d_44,0,0,0,0,0,0,44,198010m
68,1,d_2,0,0,0,0,0,0,2,198010m
69,1,d_41,0,0,0,0,0,0,41,198010m
70,1,d_1,0,0,0,0,0,0,1,198010m
71,1,d_42,0,0,0,0,0,0,42,198010m
72,1,d_4,0,0,0,0,0,0,4,198010m
73,1,d_3,0,0,0,0,0,0,3,198010m
74,1,d_40,0,0,0,0,0,0,40,198010m
75,1,d_6,0,0,0,0,0,0,6,198010m
76,1,d_5,0,0,0,0,0,0,5,198010m
77,1,d_8,0,0,0,0,0,0,8,198010m
78,1,d_7,0,0,0,0,0,0,7,198010m
79,1,d_9,0,0,0,0,0,0,9,198010m
80,1,d_29,0,0,0,0,0,0,29,198010m
81,1,d_27,0,0,0,0,0,0,27,198010m
82,1,d_28,0,0,0,0,0,0,28,198010m
83,1,d_36,0,0,0,0,0,0,36,198010m
84,1,d_37,0,0,0,0,0,0,37,198010m
85,1,d_34,0,0,0,0,0,0,34,198010m
86,1,d_35,0,0,0,0,0,0,35,198010m
87,1,d_32,0,0,0,0,0,0,32,198010m
88,1,d_33,0,0,0,0,0,0,33,198010m
89,1,d_30,0,0,0,0,0,0,30,198010m
90,1,d_31,0,0,0,0,0,0,31,198010m
91,1,d_18,0,0,0,0,0,0,18,198010m
92,1,d_19,0,0,0,0,0,0,19,198010m
93,1,d_16,0,0,0,0,0,0,16,198010m
94,1,d_17,0,0,0,0,0,0,17,198010m
95,1,d_25,0,0,0,0,0,0,25,198010m
96,1,d_26,0,0,0,0,0,0,26,198010m
97,1,d_23,0,0,0,0,0,0,23,198010m
98,1,d_24,0,0,0,0,0,0,24,198010m
99,1,d_21,0,0,0,0,0,0,21,198010m
100,1,d_22,0,0,0,0,0,0,22,198010m
101,1,d_20,0,0,0,0,0,0,20,198010m
102,1,d_60,0,0,0,0,0,0,60,198010m
103,1,d_49,0,0,0,0,0,0,49,198010m
104,1,d_14,0,0,0,0,0,0,14,198010m
105,1,d_58,0,0,0,0,0,0,58,198010m
106,1,d_15,0,0,0,0,0,0,15,198010m
107,1,d_59,0,0,0,0,0,0,59,198010m
108,1,d_12,0,0,0,0,0,0,12,198010m
109,1,d_56,0,0,0,0,0,0,56,198010m
110,1,d_13,0,0,0,0,0,0,13,198010m
111,1,d_57,0,0,0,0,0,0,57,198010m
112,1,d_10,0,0,0,0,0,0,10,198010m
113,1,d_54,0,0,0,0,0,0,54,198010m
114,1,d_11,0,0,0,0,0,0,11,198010m
115,1,d_55,0,0,0,0,0,0,55,198010m
116,1,d_52,0,0,0,0,0,0,52,198010m
117,1,d_53,0,0,0,0,0,0,53,198010m
118,1,d_50,0,0,0,0,0,0,50,198010m
119,1,d_51,0,0,0,0,0,0,51,198010m
120,2,d_38,0,0,0,0,0,0,38,198010m
121,2,d_39,0,0,0,0,0,0,39,198010m
122,2,d_47,0,0,0,0,0,0,47,198010m
123,2,d_48,0,0,0,0,0,0,48,198010m
124,2,d_45,0,0,0,0,0,0,45,198010m
125,2,d_46,0,0,0,0,0,0,46,198010m
126,2,d_43,0,0,0,0,0,0,43,198010m
127,2,d_44,0,0,0,0,0,0,44,198010m
128,2,d_2,0,0,0,0,0,0,2,198010m
129,2,d_41,0,0,0,0,0,0,41,198010m
130,2,d_1,0,0,0,0,0,0,1,198010m
131,2,d_42,0,0,0,0,0,0,42,198010m
132,2,d_4,0,0,0,0,0,0,4,198010m
133,2,d_3,0,0,0,0,0,0,3,198010m
134,2,d_40,0,0,0,0,0,0,40,198010m
135,2,d_6,0,0,0,0,0,0,6,198010m
136,2,d_5,0,0,0,0,0,0,5,198010m
137,2,d_8,0,0,0,0,0,0,8,198010m
138,2,d_7,0,0,0,0,0,0,7,198010m
139,2,d_9,0,0,0,0,0,0,9,198010m
140,2,d_29,0,0,0,0,0,0,29,198010m
141,2,d_27,0,0,0,0,0,0,27,198010m
142,2,d_28,0,0,0,0,0,0,28,198010m
143,2,d_36,0,0,0,0,0,0,36,198010m
144,2,d_37,0,0,0,0,0,0,37,198010m
145,2,d_34,0,0,0,0,0,0,34,198010m
146,2,d_35,0,0,0,0,0,0,35,198010m
147,2,d_32,0,0,0,0,0,0,32,198010m
148,2,d_33,0,0,0,0,0,0,33,198010m
149,2,d_30,0,0,0,0,0,0,30,198010m
150,2,d_31,0,0,0,0,0,0,31,198010m
151,2,d_18,0,0,0,0,0,0,18,198010m
152,2,d_19,0,0,0,0,0,0,19,198010m
153,2,d_16,0,0,0,0,0,0,16,198010m
154,2,d_17,0,0,0,0,0,0,17,198010m
155,2,d_25,0,0,0,0,0,0,25,198010m
156,2,d_26,0,0,0,0,0,0,26,198010m
157,2,d_23,0,0,0,0,0,0,23,198010m
158,2,d_24,0,0,0,0,0,0,24,198010m
159,2,d_21,0,0,0,0,0,0,21,198010m
160,2,d_22,0,0,0,0,0,0,22,198010m
161,2,d_20,0,0,0,0,0,0,20,198010m
162,2,d_60,0,0,0,0,0,0,60,198010m
163,2,d_49,0,0,0,0,0,0,49,198010m
164,2,d_14,0,0,0,0,0,0,14,198010m
165,2,d_58,0,0,0,0,0,0,58,198010m
166,2,d_15,0,0,0,0,0,0,15,198010m
167,2,d_59,0,0,0,0,0,0,59,198010m
168,2,d_12,0,0,0,0,0,0,12,198010m
169,2,d_56,0,0,0,0,0,0,56,198010m
170,2,d_13,0,0,0,0,0,0,13,198010m
171,2,d_57,0,0,0,0,0,0,57,198010m
172,2,d_10,0,0,0,0,0,0,10,198010m
173,2,d_54,0,0,0,0,0,0,54,198010m
174,2,d_11,0,0,0,0,0,0,11,198010m
175,2,d_55,0,0,0,0,0,0,55,198010m
176,2,d_52,0,0,0,0,0,0,52,198010m
177,2,d_53,0,0,0,0,0,0,53,198010m
178,2,d_50,0,0,0,0,0,0,50,198010m
179,2,d_51,0,0,0,0,0,0,51,198010m
180,3,d_38,0,0,0,0,0,0,38,198010m
181,3,d_39,0,0,0,0,0,0,39,198010m
182,3,d_47,0,0,0,0,0,0,47,198010m
183,3,d_48,0,0,0,0,0,0,48,198010m
184,3,d_45,0,0,0,0,0,0,45,198010m
185,3,d_46,0,0,0,0,0,0,46,198010m
186,3,d_43,0,0,0,0,0,0,43,198010m
187,3,d_44,0,0,0,0,0,0,44,198010m
188,3,d_2,0,0,0,0,0,0,2,198010m
189,3,d_41,0,0,0,0,0,0,41,198010m
190,3,d_1,0,0,0,0,0,0,1,198010m
191,3,d_42,0,0,0,0,0,0,42,198010m
192,3,d_4,0,0,0,0,0,0,4,198010m
193,3,d_3,0,0,0,0,0,0,3,198010m
194,3,d_40,0,0,0,0,0,0,40,198010m
195,3,d_6,0,0,0,0,0,0,6,198010m
196,3,d_5,0,0,0,0,0,0,5,198010m
197,3,d_8,0,0,0,0,0,0,8,198010m
198,3,d_7,0,0,0,0,0,0,7,198010m
199,3,d_9,0,0,0,0,0,0,9,198010m
200,3,d_29,0,0,0,0,0,0,29,198010m
201,3,d_27,0,0,0,0,0,0,27,198010m
202,3,d_28,0,0,0,0,0,0,28,198010m
203,3,d_36,0,0,0,0,0,0,36,198010m
204,3,d_37,0,0,0,0,0,0,37,198010m
