,date,current_contagious_count,infected_count,current_exposed_cases,current_contagious_cases,current_hospitalized_cases,current_critical_cases,asymptomatic_count,symptomatic_count,hospitalized_count,critical_count,died_count,recovered_count,new_cases,new_hospitalized,new_critical,version,days,scenario
0,2020-09-01T00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,../data/logs/model_log_file_Phase1GovernmentOpenSchoolsScenario_00_R1.4_samp100_seed2200.2021-02-12T16:24:00.976358.log,0,Phase1 Government Open Schools Scenario
0,2020-09-01T00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,../data/logs/model_log_file_Phase1GovernmentOpenSchoolsScenario_00_R1.4_samp100_seed2200.2021-02-05T16:08:37.879660.log,0,Phase1 Government Open Schools Scenario
0,2020-09-01T00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,../data/logs/model_log_file_Phase1GovernmentOpenSchoolsScenario_00_R1.4_samp100_seed2200.2021-02-05T14:50:48.789209.log,0,Phase1 Government Open Schools Scenario
0,2020-09-01T00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,../data/logs/model_log_file_Phase1GovernmentOpenSchoolsScenario_00_R1.4_samp100_seed2200.2021-02-05T16:17:33.300622.log,0,Phase1 Government Open Schools Scenario
0,2020-09-01T00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,../data/logs/model_log_file_Phase1GovernmentOpenSchoolsScenario_00_R1.4_samp100_seed2200.2021-02-05T16:19:31.332081.log,0,Phase1 Government Open Schools Scenario
0,2020-09-01T00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,../data/logs/model_log_file_Phase1GovernmentOpenSchoolsScenario_00_R1.4_samp100_seed2200.2021-02-12T17:49:08.475062.log,0,Phase1 Government Open Schools Scenario
0,2020-09-01T00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,../data/logs/model_log_file_Phase1GovernmentOpenSchoolsScenario_00_R1.4_samp100_seed2200.2021-02-05T16:13:49.710626.log,0,Phase1 Government Open Schools Scenario
0,2020-09-01T00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,../data/logs/model_log_file_Phase1GovernmentOpenSchoolsScenario_00_R1.4_samp100_seed2200.2020-12-04T14:08:13.602569.log,0,Phase1 Government Open Schools Scenario
0,2020-09-01T00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,../data/logs/model_log_file_Phase1GovernmentOpenSchoolsScenario_00_R1.4_samp100_seed2200.2021-02-05T14:28:20.453079.log,0,Phase1 Government Open Schools Scenario
0,2020-09-01T00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,../data/logs/model_log_file_Phase1GovernmentOpenSchoolsScenario_00_R1.4_samp100_seed2200.2021-02-05T14:48:17.887856.log,0,Phase1 Government Open Schools Scenario
