time,metric_new_cases_sympt,metric_new_deaths,metric_died_count
0,8,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,2,0,0
6,0,0,0
7,3,0,0
8,1,0,0
9,2,0,0
10,2,0,0
11,1,0,0
12,5,0,0
13,3,0,0
14,2,0,0
15,0,0,0
16,1,0,0
17,2,0,0
18,1,0,0
19,3,0,0
20,3,0,0
21,3,0,0
22,2,0,0
23,1,0,0
24,2,0,0
25,2,0,0
26,3,0,0
27,1,0,0
28,3,0,0
29,2,0,0
30,2,0,0
31,2,0,0
32,3,0,0
33,1,0,0
34,3,0,0
35,1,0,0
36,3,0,0
37,0,0,0
38,2,0,0
39,1,0,0
40,3,0,0
41,2,0,0
42,2,0,0
43,0,0,0
44,4,0,0
45,0,0,0
46,3,0,0
47,3,0,0
48,4,0,0
49,3,0,0
50,0,0,0
51,3,0,0
52,7,0,0
53,0,0,0
54,2,0,0
55,3,0,0
56,1,0,0
57,8,0,0
58,4,0,0
59,3,0,0
60,2,0,0
61,4,0,0
62,4,0,0
63,7,0,0
64,6,0,0
65,6,0,0
66,0,0,0
67,3,0,0
68,4,0,0
69,8,0,0
70,5,0,0
71,1,0,0
72,5,0,0
73,3,0,0
74,5,0,0
75,10,0,0
76,6,0,0
77,4,0,0
78,2,0,0
79,9,0,0
80,8,0,0
81,8,0,0
82,6,0,0
83,5,0,0
84,2,0,0
85,7,0,0
86,3,0,0
87,4,0,0
88,8,0,0
89,4,0,0
90,9,0,0
91,3,0,0
92,4,0,0
93,6,0,0
94,8,0,0
95,7,0,0
96,8,0,0
97,12,0,0
98,5,0,0
99,8,0,0
100,7,0,0
101,6,0,0
102,7,0,0
103,12,0,0
104,8,0,0
105,11,0,0
106,9,0,0
107,9,0,0
108,10,0,0
109,9,0,0
110,4,0,0
111,6,0,0
112,10,0,0
113,13,0,0
114,14,0,0
115,6,0,0
116,11,1,1
117,5,0,1
118,11,0,1
119,13,0,1
120,12,0,1
121,6,0,1
122,16,0,1
123,13,0,1
124,9,0,1
125,12,0,1
126,14,0,1
127,10,0,1
128,9,0,1
129,10,0,1
130,14,0,1
131,10,0,1
132,11,0,1
133,13,0,1
134,16,0,1
135,14,0,1
136,15,0,1
137,12,0,1
138,20,0,1
139,20,0,1
140,24,0,1
141,29,0,1
142,31,1,2
143,35,0,2
144,41,0,2
145,27,0,2
146,18,0,2
147,17,0,2
148,31,0,2
149,41,0,2
150,22,0,2
151,21,0,2
152,32,0,2
153,31,0,2
154,37,0,2
155,40,0,2
156,27,0,2
157,35,0,2
158,25,0,2
159,29,0,2
160,54,0,2
161,34,1,3
162,37,0,3
163,41,0,3
164,31,0,3
165,46,0,3
166,38,0,3
167,42,0,3
168,48,0,3
169,42,0,3
170,36,0,3
171,33,0,3
172,44,0,3
173,51,0,3
174,45,0,3
175,53,0,3
176,40,0,3
177,48,0,3
178,46,0,3
179,33,0,3
