weekday,home_region,d_1,d_2,d_3,d_4,d_5,d_6,d_7,d_8,d_9,d_10,d_11,d_12,d_13,d_14,d_15,d_16,d_17,d_18,d_19,d_20,d_21,d_22,d_23,d_24,d_25,d_26,d_27,d_28,d_29,d_30,d_31,d_32,d_33,d_34,d_35,d_36,d_37,d_38,d_39,d_40,d_41,d_42,d_43,d_44,d_45,d_46,d_47,d_48,d_49,d_50,d_51,d_52,d_53,d_54,d_55,d_56,d_57,d_58,d_59,d_60
0,d_1,85.807602,86.224602,86.242401,86.245697,86.246696,86.249199,86.272102,86.272102,86.272102,86.272102,86.272102,86.272102,86.272102,86.272102,86.272102,86.272102,86.2883,86.302597,86.303596,86.303596,86.303596,86.303596,86.307297,86.307297,86.307297,86.492599,86.4935,86.655998,86.655998,86.667801,86.741798,86.758301,86.768402,86.811096,86.822899,86.944298,86.944298,86.948502,86.997704,87.492599,87.796501,88.083702,88.178596,88.391197,94.978203,95.185501,95.586098,96.0364,96.742302,97.042397,97.340401,98.782799,98.811096,98.819099,98.843697,99.487396,99.745102,99.796097,99.829803,100
1,d_1,86.027802,86.408302,86.4217,86.423798,86.423798,86.423798,86.446999,86.446999,86.446999,86.446999,86.446999,86.446999,86.446999,86.446999,86.446999,86.446999,86.456299,86.467201,86.467201,86.467201,86.467201,86.467201,86.469498,86.469498,86.469498,86.597801,86.5998,86.722198,86.722198,86.726997,86.783401,86.795303,86.802002,86.837196,86.845901,86.9422,86.944099,86.947502,86.991501,87.571297,87.843201,88.156197,88.263298,88.465698,95.002602,95.225304,95.619797,96.114098,96.800003,97.163101,97.472504,99.005501,99.025803,99.031502,99.056099,99.559196,99.7631,99.8144,99.849098,100
2,d_1,86.429497,86.742699,86.759201,86.761101,86.761101,86.761101,86.7873,86.7873,86.7873,86.7873,86.7873,86.7873,86.7873,86.7873,86.7873,86.7873,86.798103,86.805199,86.805199,86.805199,86.805199,86.805199,86.808998,86.808998,86.808998,86.934196,86.935402,87.054001,87.054001,87.060303,87.107101,87.120201,87.128899,87.156898,87.160103,87.254601,87.254601,87.257004,87.308502,87.852699,88.128799,88.429901,88.529503,88.7089,95.363098,95.557602,95.937202,96.367104,97.022003,97.3564,97.6381,99.049797,99.071999,99.080498,99.107597,99.584396,99.788902,99.832001,99.860603,100
3,d_1,86.469902,86.783997,86.794296,86.794296,86.794296,86.794296,86.815598,86.815598,86.815598,86.815598,86.815598,86.815598,86.815598,86.815598,86.815598,86.815598,86.825996,86.834503,86.834503,86.834503,86.834503,86.834503,86.837303,86.837303,86.837303,86.957497,86.957497,87.072701,87.072701,87.077499,87.1278,87.141403,87.147202,87.172401,87.178802,87.271202,87.271202,87.275902,87.335197,87.858398,88.119598,88.380402,88.477303,88.648399,95.292099,95.551498,95.923599,96.373596,97.026299,97.3395,97.6138,99.062599,99.0839,99.0923,99.117203,99.588303,99.785797,99.836601,99.864799,100
4,d_1,86.568901,86.892998,86.9076,86.909599,86.909599,86.909599,86.930702,86.931702,86.931702,86.931702,86.931702,86.931702,86.931702,86.931702,86.931702,86.931702,86.947197,86.957001,86.957001,86.957001,86.957001,86.957001,86.958298,86.958298,86.958298,87.088799,87.088799,87.208199,87.208199,87.212997,87.268898,87.283798,87.293701,87.3218,87.334297,87.427299,87.427299,87.429703,87.487,87.9907,88.251404,88.498001,88.587097,88.736,95.127296,95.472198,95.836899,96.338799,96.971901,97.289299,97.560402,99.024803,99.048103,99.0569,99.0839,99.582001,99.791397,99.838699,99.865303,100
5,d_1,85.762703,86.1642,86.181,86.183098,86.185097,86.1884,86.214104,86.214104,86.214104,86.214104,86.214104,86.214104,86.214897,86.214897,86.214897,86.214897,86.237503,86.251099,86.2528,86.2528,86.2528,86.2528,86.259399,86.259399,86.259399,86.440598,86.441498,86.594704,86.594704,86.603798,86.670097,86.684601,86.691498,86.735199,86.747398,86.862801,86.862801,86.8703,86.922699,87.429199,87.717903,87.990601,88.068497,88.2108,94.708702,94.939301,95.338097,95.838402,96.566704,96.923698,97.217102,98.765602,98.797798,98.806999,98.841698,99.469902,99.725197,99.789902,99.825401,100
6,d_1,85.175201,85.526398,85.554001,85.554001,85.554001,85.562599,85.584099,85.584099,85.584099,85.584099,85.584099,85.584099,85.585999,85.585999,85.585999,85.585999,85.620399,85.633698,85.633698,85.633698,85.633698,85.633698,85.636002,85.636002,85.636002,85.780602,85.780602,85.902901,85.902901,85.9114,85.973801,85.989799,85.997002,86.036003,86.058098,86.166496,86.167397,86.175003,86.2174,86.786102,87.055901,87.303299,87.412903,87.587799,94.487099,94.693802,95.193703,95.648804,96.457199,96.845497,97.162903,98.822403,98.871101,98.879501,98.9104,99.5037,99.739799,99.7967,99.830704,100
0,d_10,0.0035,4.4246001,4.4246001,4.4246001,4.4246001,4.4577999,4.4801002,4.4801002,4.4801002,66.696404,66.811798,66.866898,77.961502,81.046799,81.235901,95.383202,95.418297,98.050903,98.131897,98.131897,98.393898,98.405098,98.523102,98.952301,98.952301,99.133598,99.166901,99.237801,99.237801,99.289497,99.8853,99.8853,99.8853,99.8853,99.889603,99.903397,99.903397,99.903397,99.903397,99.903397,99.903397,99.903397,99.903397,99.903397,99.903397,99.903397,99.903397,99.903397,99.903397,99.903397,99.903397,99.903397,99.928299,99.928299,99.928299,99.965302,100,100,100,100
1,d_10,0,5.3908,5.3908,5.3908,5.3908,5.4231,5.4393001,5.4393001,5.4393001,65.859001,65.962303,66.029099,77.435097,81.057999,81.267097,95.314796,95.347702,98.1586,98.219498,98.219498,98.458504,98.4627,98.574097,98.984596,98.984596,99.1576,99.172897,99.250999,99.250999,99.302002,99.900101,99.900101,99.900101,99.900101,99.905197,99.928398,99.928398,99.928398,99.928398,99.928398,99.928398,99.928398,99.928398,99.928398,99.928398,99.928398,99.928398,99.928398,99.928398,99.928398,99.928398,99.928398,99.951599,99.951599,99.951599,99.969299,100,100,100,100
2,d_10,0,4.4981999,4.4981999,4.4981999,4.4981999,4.5208001,4.5349002,4.5349002,4.5349002,66.569199,66.679298,66.7509,77.848198,81.226898,81.448799,95.859497,95.885101,98.371002,98.419197,98.419197,98.643898,98.643898,98.729698,99.225601,99.225601,99.363098,99.388397,99.4328,99.4328,99.467796,99.9496,99.9496,99.9496,99.9496,99.9496,99.954498,99.954498,99.954498,99.954498,99.954498,99.954498,99.954498,99.954498,99.954498,99.954498,99.954498,99.954498,99.954498,99.954498,99.954498,99.954498,99.954498,99.962402,99.962402,99.962402,99.9739,100,100,100,100
