weekday,home_region,d_1,d_2,d_3,d_4,d_5,d_6,d_7,d_8,d_9,d_10,d_11,d_12,d_13,d_14,d_15,d_16,d_17,d_18,d_19,d_20,d_21,d_22,d_23,d_24,d_25,d_26,d_27,d_28,d_29,d_30,d_31,d_32,d_33,d_34,d_35,d_36,d_37,d_38,d_39,d_40,d_41,d_42,d_43,d_44,d_45,d_46,d_47,d_48,d_49,d_50,d_51,d_52,d_53,d_54,d_55,d_56,d_57,d_58,d_59,d_60
0,d_1,92.014503,92.070297,92.070297,92.070297,92.070297,92.070297,92.070297,92.070297,92.070297,92.070297,92.070297,92.070297,92.070297,92.070297,92.070297,92.070297,92.072304,92.072304,92.072304,92.072304,92.072304,92.072304,92.072304,92.072304,92.072304,92.103699,92.103699,92.130898,92.130898,92.130898,92.1437,92.1437,92.1437,92.148903,92.148903,92.161003,92.161003,92.161003,92.165901,92.3508,92.403999,92.480904,92.502602,92.541298,98.506897,98.540199,98.773102,98.871696,99.069,99.114403,99.229797,99.795502,99.803802,99.803802,99.803802,99.917503,99.964104,99.974503,99.976196,100
1,d_1,91.739899,91.789803,91.789803,91.789803,91.789803,91.789803,91.789803,91.789803,91.789803,91.789803,91.789803,91.789803,91.789803,91.789803,91.789803,91.789803,91.7938,91.7938,91.7938,91.7938,91.7938,91.7938,91.7938,91.7938,91.7938,91.820602,91.820602,91.848602,91.848602,91.848602,91.861198,91.861198,91.861198,91.870796,91.870796,91.890999,91.890999,91.890999,91.893501,92.130501,92.185699,92.260803,92.280296,92.329002,98.257103,98.285202,98.510597,98.623703,98.8675,98.9254,99.056198,99.7817,99.789101,99.789101,99.789101,99.906898,99.955803,99.9692,99.974403,100
2,d_1,91.582298,91.625099,91.626801,91.626801,91.626801,91.626801,91.626801,91.626801,91.626801,91.626801,91.626801,91.626801,91.626801,91.626801,91.626801,91.626801,91.632004,91.632004,91.632004,91.632004,91.632004,91.632004,91.632004,91.632004,91.632004,91.656898,91.656898,91.682999,91.682999,91.682999,91.689796,91.689796,91.689796,91.702202,91.702202,91.719597,91.719597,91.719597,91.7295,91.977898,92.0438,92.1334,92.163101,92.213898,98.129402,98.163696,98.411102,98.539299,98.805702,98.874702,99.0215,99.762001,99.7743,99.7743,99.7761,99.900497,99.947197,99.961304,99.966003,100
3,d_1,91.617798,91.667702,91.670502,91.670502,91.670502,91.670502,91.670502,91.670502,91.670502,91.670502,91.670502,91.670502,91.670502,91.670502,91.670502,91.670502,91.6744,91.6744,91.6744,91.6744,91.6744,91.6744,91.6744,91.6744,91.6744,91.702499,91.702499,91.731102,91.731102,91.731102,91.743301,91.745003,91.745003,91.755096,91.755096,91.775398,91.775398,91.775398,91.787102,92.014198,92.083504,92.171799,92.209801,92.263,98.177803,98.208099,98.453499,98.574501,98.832703,98.899803,99.044998,99.748497,99.7593,99.7593,99.760696,99.893799,99.947601,99.9627,99.969002,100
4,d_1,91.706703,91.761299,91.762802,91.762802,91.762802,91.762802,91.762802,91.762802,91.762802,91.762802,91.762802,91.762802,91.762802,91.762802,91.762802,91.762802,91.772903,91.772903,91.772903,91.772903,91.772903,91.772903,91.772903,91.772903,91.772903,91.8004,91.8004,91.8312,91.8312,91.8312,91.846001,91.846001,91.846001,91.854401,91.854401,91.871201,91.871201,91.871201,91.884804,92.109001,92.180702,92.269501,92.295303,92.340103,98.214798,98.242897,98.488602,98.601097,98.853699,98.921799,99.064796,99.743797,99.755699,99.755699,99.755699,99.893997,99.950401,99.963997,99.969498,100
5,d_1,91.722702,91.773399,91.775002,91.775002,91.775002,91.775002,91.775002,91.775002,91.775002,91.775002,91.775002,91.775002,91.775002,91.775002,91.775002,91.775002,91.779198,91.779198,91.779198,91.779198,91.779198,91.779198,91.779198,91.779198,91.779198,91.8069,91.8069,91.828796,91.828796,91.828796,91.838402,91.838402,91.838402,91.847,91.847,91.864403,91.864403,91.864403,91.876404,92.093002,92.152802,92.238098,92.255203,92.298599,98.347298,98.373802,98.581902,98.687798,98.927696,98.993896,99.123001,99.771202,99.7798,99.7798,99.7798,99.898399,99.944397,99.955498,99.962502,100
6,d_1,91.871101,91.914101,91.914101,91.914101,91.914101,91.914101,91.914101,91.914101,91.914101,91.914101,91.914101,91.914101,91.914101,91.914101,91.914101,91.914101,91.914101,91.914101,91.914101,91.914101,91.914101,91.914101,91.914101,91.914101,91.914101,91.940598,91.940598,91.964203,91.964203,91.964203,91.974098,91.974098,91.974098,91.979401,91.979401,91.996902,91.996902,91.996902,92.0019,92.200302,92.2584,92.338097,92.359596,92.400597,98.399803,98.430496,98.655403,98.761803,98.979897,99.034698,99.161903,99.794998,99.803902,99.803902,99.805496,99.918404,99.956902,99.971497,99.973701,100
0,d_10,0,0.75260001,0.75260001,0.75260001,0.75260001,0.75260001,0.75260001,0.75260001,0.75260001,71.338997,71.431297,71.437897,81.2304,83.348297,83.360497,96.543404,96.543404,99.185898,99.185898,99.185898,99.374397,99.374397,99.374397,99.8601,99.8601,99.887604,99.887604,99.887604,99.887604,99.887604,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,d_10,0,0.96700001,0.96700001,0.96700001,0.96700001,0.96700001,0.96700001,0.96700001,0.96700001,71.183899,71.273102,71.278603,80.920601,83.373299,83.411102,96.481201,96.481201,99.011597,99.017403,99.017403,99.205101,99.205101,99.2183,99.795998,99.795998,99.831398,99.831398,99.839104,99.839104,99.839104,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2,d_10,0,0.97839999,0.97839999,0.97839999,0.97839999,0.97839999,0.97839999,0.97839999,0.97839999,69.985298,70.073799,70.079498,80.188004,82.476799,82.535599,96.2659,96.2659,98.840698,98.846397,98.846397,99.035698,99.035698,99.048897,99.806,99.806,99.844498,99.844498,99.850899,99.850899,99.850899,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
