district,compliance
d_1,1.0
d_2,1.0
d_3,1.0
d_4,1.0
d_5,1.0
d_6,1.0
d_7,1.0
d_8,1.0
d_9,1.0
d_10,1.0
d_11,1.0
d_12,1.0
d_13,1.0
d_14,1.0
d_15,1.0
d_16,1.0
d_17,1.0
d_18,1.0
d_19,1.0
d_20,1.0
d_21,1.0
d_22,1.0
d_23,1.0
d_24,1.0
d_25,1.0
d_26,1.0
d_27,1.0
d_28,1.0
d_29,1.0
d_30,1.0
d_31,1.0
d_32,1.0
d_33,1.0
d_34,1.0
d_35,1.0
d_36,1.0
d_37,1.0
d_38,1.0
d_39,1.0
d_40,1.0
d_41,1.0
d_42,1.0
d_43,1.0
d_44,1.0
d_45,1.0
d_46,1.0
d_47,1.0
d_48,1.0
d_49,1.0
d_50,1.0
d_51,1.0
d_52,1.0
d_53,1.0
d_54,1.0
d_55,1.0
d_56,1.0
d_57,1.0
d_58,1.0
d_59,1.0
d_60,1.0
