index,date,positive_rate_per_1000
0,2020-05-13,0.09
1,2020-05-14,0.1
2,2020-05-15,0.3
3,2020-05-16,0.26
4,2020-05-17,0.3
5,2020-05-18,0.4
6,2020-05-19,0.32
7,2020-05-20,0.32
8,2020-05-21,0.37
9,2020-05-22,0.24
10,2020-05-23,0.4599999999999999
11,2020-05-24,0.4
12,2020-05-25,0.38
13,2020-05-26,0.5499999999999999
14,2020-05-27,5.13
15,2020-05-28,7.22
16,2020-05-29,5.88
17,2020-05-30,5.390000000000001
18,2020-05-31,4.84
19,2020-06-01,4.99
20,2020-06-02,4.569999999999999
21,2020-06-03,2.39
22,2020-06-04,2.22
23,2020-06-05,2.8000000000000003
24,2020-06-06,2.74
25,2020-06-07,3.03
26,2020-06-08,2.63
27,2020-06-09,3.65
28,2020-06-10,3.51
29,2020-06-11,3.56
30,2020-06-12,3.08
31,2020-06-13,2.9000000000000004
32,2020-06-14,3.89
33,2020-06-15,3.69
34,2020-06-16,2.95
35,2020-06-17,3.26
36,2020-06-18,4.77
37,2020-06-19,5.27
38,2020-06-20,5.029999999999999
39,2020-06-21,3.85
40,2020-06-22,4.79
41,2020-06-23,4.9
42,2020-06-24,4.36
43,2020-06-25,3.0700000000000003
44,2020-06-26,2.68
45,2020-06-27,2.76
46,2020-06-28,2.41
47,2020-06-29,1.97
48,2020-06-30,2.12
49,2020-07-01,2.65
50,2020-07-02,2.26
51,2020-07-03,2.18
52,2020-07-04,4.09
53,2020-07-05,4.72
54,2020-07-06,5.0
55,2020-07-07,5.680000000000001
56,2020-07-08,7.62
57,2020-07-09,7.180000000000001
58,2020-07-10,8.14
59,2020-07-11,7.99
60,2020-07-12,7.35
61,2020-07-13,7.979999999999999
62,2020-07-14,7.17
63,2020-07-15,5.29
64,2020-07-16,12.64
65,2020-07-17,11.69
66,2020-07-18,11.71
67,2020-07-19,13.84
68,2020-07-20,14.72
69,2020-07-21,16.77
70,2020-07-22,18.96
71,2020-07-23,13.28
72,2020-07-24,8.93
73,2020-07-25,8.41
74,2020-07-26,7.57
75,2020-07-27,7.689999999999999
76,2020-07-28,7.399999999999999
77,2020-07-29,5.96
78,2020-07-30,6.78
79,2020-07-31,8.540000000000001
80,2020-08-01,12.8
81,2020-08-02,14.32
82,2020-08-03,13.99
83,2020-08-04,14.45
84,2020-08-05,14.000000000000002
85,2020-08-06,13.84
86,2020-08-07,14.29
87,2020-08-08,10.489999999999998
88,2020-08-09,8.649999999999999
89,2020-08-10,6.87
90,2020-08-11,5.680000000000001
91,2020-08-12,6.550000000000001
92,2020-08-13,6.140000000000001
93,2020-08-14,5.73
94,2020-08-15,5.45
95,2020-08-16,5.43
96,2020-08-17,5.98
97,2020-08-18,6.370000000000001
98,2020-08-19,8.33
99,2020-08-20,8.25
100,2020-08-21,7.630000000000001
101,2020-08-22,7.66
102,2020-08-23,7.720000000000001
103,2020-08-24,8.93
104,2020-08-25,9.21
105,2020-08-26,7.470000000000001
106,2020-08-27,6.98
107,2020-08-28,7.57
108,2020-08-29,6.67
109,2020-08-30,6.48
110,2020-08-31,5.69
111,2020-09-01,5.23
112,2020-09-02,5.52
113,2020-09-03,5.4
114,2020-09-04,6.890000000000001
115,2020-09-05,7.51
116,2020-09-06,7.77
117,2020-09-07,15.87
118,2020-09-08,18.19
119,2020-09-09,16.939999999999998
120,2020-09-10,17.06
121,2020-09-11,13.73
122,2020-09-12,12.13
123,2020-09-13,12.38
124,2020-09-14,4.23
125,2020-09-15,3.49
126,2020-09-16,3.4000000000000004
127,2020-09-17,3.5900000000000003
128,2020-09-18,3.56
129,2020-09-19,4.03
130,2020-09-20,3.62
131,2020-09-21,3.58
132,2020-09-22,3.01
133,2020-09-23,2.8400000000000003
134,2020-09-24,2.85
135,2020-09-25,3.42
136,2020-09-26,3.2
137,2020-09-27,3.49
138,2020-09-28,3.37
139,2020-09-29,3.34
140,2020-09-30,3.1300000000000003
141,2020-10-01,2.5
142,2020-10-02,1.7999999999999998
143,2020-10-03,2.14
144,2020-10-04,2.0
145,2020-10-05,1.94
146,2020-10-06,1.67
147,2020-10-07,1.63
148,2020-10-08,2.09
149,2020-10-09,3.18
150,2020-10-10,2.8000000000000003
151,2020-10-11,2.54
152,2020-10-12,2.8000000000000003
153,2020-10-13,2.97
154,2020-10-14,3.46
155,2020-10-15,3.24
156,2020-10-16,2.43
157,2020-10-17,2.21
158,2020-10-18,3.25
159,2020-10-19,3.2300000000000004
160,2020-10-20,3.38
161,2020-10-21,3.43
162,2020-10-22,3.58
163,2020-10-23,3.1
164,2020-10-24,3.24
165,2020-10-25,2.36
166,2020-10-26,2.5700000000000003
167,2020-10-27,2.18
168,2020-10-28,1.87
169,2020-10-29,1.7999999999999998
170,2020-10-30,1.81
171,2020-10-31,1.67
172,2020-11-01,1.7399999999999998
173,2020-11-02,1.55
174,2020-11-03,1.81
175,2020-11-04,1.94
176,2020-11-05,1.82
177,2020-11-06,2.15
178,2020-11-07,2.58
179,2020-11-08,3.09
180,2020-11-09,3.32
181,2020-11-10,3.58
182,2020-11-11,4.49
183,2020-11-12,4.52
184,2020-11-13,4.98
185,2020-11-14,4.96
186,2020-11-15,4.82
187,2020-11-16,5.3100000000000005
188,2020-11-17,5.53
189,2020-11-18,4.7
190,2020-11-19,5.2
191,2020-11-20,5.4
192,2020-11-21,5.84
193,2020-11-22,5.55
194,2020-11-23,6.08
195,2020-11-24,6.660000000000001
196,2020-11-25,7.95
197,2020-11-26,7.93
198,2020-11-27,8.21
199,2020-11-28,7.779999999999999
200,2020-11-29,7.6
201,2020-11-30,7.870000000000001
202,2020-12-01,8.85
203,2020-12-02,6.859999999999999
204,2020-12-03,9.34
205,2020-12-04,8.870000000000001
206,2020-12-05,8.6
207,2020-12-06,10.15
208,2020-12-07,9.56
209,2020-12-08,7.649999999999999
210,2020-12-09,8.85
211,2020-12-10,6.36
212,2020-12-11,6.12
213,2020-12-12,6.12
214,2020-12-13,5.04
215,2020-12-14,4.79
216,2020-12-15,6.47
217,2020-12-16,8.04
218,2020-12-17,8.27
219,2020-12-18,8.68
220,2020-12-19,8.95
221,2020-12-20,9.49
222,2020-12-21,9.71
223,2020-12-22,8.64
224,2020-12-23,7.580000000000001
225,2020-12-24,7.739999999999999
226,2020-12-25,7.290000000000001
227,2020-12-26,7.359999999999999
228,2020-12-27,7.6
229,2020-12-28,7.53
230,2020-12-29,7.37
231,2020-12-30,8.38
232,2020-12-31,9.52
233,2021-01-01,9.02
234,2021-01-02,10.92
235,2021-01-03,13.43
236,2021-01-04,15.58
237,2021-01-05,19.62
238,2021-01-06,19.040000000000003
239,2021-01-07,19.950000000000003
240,2021-01-08,24.07
241,2021-01-09,24.68
242,2021-01-10,23.92
243,2021-01-11,25.25
244,2021-01-12,23.99
245,2021-01-13,26.88
246,2021-01-14,28.75
247,2021-01-15,26.950000000000003
248,2021-01-16,26.06
249,2021-01-17,27.22
250,2021-01-18,23.97
251,2021-01-19,23.02
252,2021-01-20,21.01
253,2021-01-21,18.97
254,2021-01-22,17.57
255,2021-01-23,17.130000000000003
256,2021-01-24,16.53
257,2021-01-25,16.0
258,2021-01-26,15.27
259,2021-01-27,13.76
260,2021-01-28,11.84
261,2021-01-29,10.86
262,2021-01-30,10.39
263,2021-01-31,9.72
264,2021-02-01,8.92
265,2021-02-02,8.07
266,2021-02-03,7.689999999999999
267,2021-02-04,7.439999999999999
268,2021-02-05,7.3
269,2021-02-06,6.39
270,2021-02-07,6.36
271,2021-02-08,6.03
272,2021-02-09,5.79
273,2021-02-10,5.16
274,2021-02-11,4.18
275,2021-02-12,4.45
276,2021-02-13,4.04
277,2021-02-14,3.81
278,2021-02-15,3.71
279,2021-02-16,3.36
280,2021-02-17,3.88
281,2021-02-18,4.21
282,2021-02-19,4.05
283,2021-02-20,4.01
284,2021-02-21,3.98
285,2021-02-22,4.04
286,2021-02-23,4.08
287,2021-02-24,3.75
288,2021-02-25,3.39
289,2021-02-26,2.55
290,2021-02-27,2.24
291,2021-02-28,2.32
292,2021-03-01,1.94
293,2021-03-02,1.78
294,2021-03-03,1.63
295,2021-03-04,1.82
296,2021-03-05,1.71
297,2021-03-06,1.65
298,2021-03-07,1.53
299,2021-03-08,1.5
300,2021-03-09,1.51
301,2021-03-10,1.38
302,2021-03-11,1.36
303,2021-03-12,1.47
304,2021-03-13,1.92
305,2021-03-14,1.84
306,2021-03-15,1.87
307,2021-03-16,1.86
308,2021-03-17,1.95
309,2021-03-18,2.01
310,2021-03-19,1.94
311,2021-03-20,1.6
312,2021-03-21,1.58
313,2021-03-22,1.49
314,2021-03-23,1.55
315,2021-03-24,1.43
316,2021-03-25,1.26
317,2021-03-26,1.09
318,2021-03-27,1.02
319,2021-03-28,1.0
320,2021-03-29,1.05
321,2021-03-30,0.7799999999999999
322,2021-03-31,0.97
323,2021-04-01,0.84
324,2021-04-02,0.79
325,2021-04-03,0.8099999999999999
326,2021-04-04,0.88
327,2021-04-05,0.8500000000000001
328,2021-04-06,1.26
329,2021-04-07,0.8500000000000001
330,2021-04-08,1.36
331,2021-04-09,1.95
332,2021-04-10,2.66
333,2021-04-11,2.65
334,2021-04-12,2.73
335,2021-04-13,2.59
336,2021-04-14,2.94
337,2021-04-15,2.65
338,2021-04-16,2.85
339,2021-04-17,3.1
340,2021-04-18,3.41
341,2021-04-19,3.85
342,2021-04-20,3.66
343,2021-04-21,4.23
344,2021-04-22,4.36
345,2021-04-23,3.94
346,2021-04-24,2.98
347,2021-04-25,2.7
348,2021-04-26,2.02
349,2021-04-27,2.42
350,2021-04-28,1.76
351,2021-04-29,1.77
352,2021-04-30,1.64
353,2021-05-01,1.49
354,2021-05-02,1.5
355,2021-05-03,1.4200000000000002
356,2021-05-04,1.29
357,2021-05-05,1.24
358,2021-05-06,1.12
359,2021-05-07,1.04
360,2021-05-08,1.11
361,2021-05-09,0.98
362,2021-05-10,0.98
363,2021-05-11,0.8099999999999999
364,2021-05-12,0.79
365,2021-05-13,0.72
366,2021-05-14,0.99
367,2021-05-15,1.03
368,2021-05-16,1.0699999999999998
369,2021-05-17,1.08
370,2021-05-18,1.14
371,2021-05-19,1.03
372,2021-05-20,1.04
373,2021-05-21,0.92
374,2021-05-22,0.92
375,2021-05-23,0.8999999999999999
376,2021-05-24,0.8699999999999999
377,2021-05-25,0.8200000000000001
378,2021-05-26,1.71
379,2021-05-27,1.81
380,2021-05-28,2.1
381,2021-05-29,2.03
382,2021-05-30,2.11
383,2021-05-31,2.31
384,2021-06-01,2.35
385,2021-06-02,1.58
386,2021-06-03,1.83
387,2021-06-04,1.67
388,2021-06-05,1.7500000000000002
389,2021-06-06,1.79
390,2021-06-07,1.96
391,2021-06-08,2.19
392,2021-06-09,2.5700000000000003
393,2021-06-10,2.43
394,2021-06-11,3.2
395,2021-06-12,3.87
396,2021-06-13,4.279999999999999
397,2021-06-14,4.46
398,2021-06-15,5.59
399,2021-06-16,6.800000000000001
400,2021-06-17,8.309999999999999
401,2021-06-18,8.95
402,2021-06-19,9.68
403,2021-06-20,10.01
404,2021-06-21,11.53
405,2021-06-22,10.46
406,2021-06-23,11.04
407,2021-06-24,12.13
408,2021-06-25,14.3
409,2021-06-26,15.079999999999998
410,2021-06-27,14.61
411,2021-06-28,15.97
412,2021-06-29,17.02
413,2021-06-30,16.29
414,2021-07-01,15.3
415,2021-07-02,14.39
416,2021-07-03,14.39
417,2021-07-04,15.3
418,2021-07-05,16.45
419,2021-07-06,17.2
420,2021-07-07,19.02
421,2021-07-08,19.8
422,2021-07-09,21.87
423,2021-07-10,21.62
424,2021-07-11,21.39
425,2021-07-12,21.99
426,2021-07-13,22.26
427,2021-07-14,22.75
428,2021-07-15,20.92
429,2021-07-16,20.01
430,2021-07-17,19.5
431,2021-07-18,19.78
432,2021-07-19,18.96
433,2021-07-20,19.38
434,2021-07-21,18.85
435,2021-07-22,20.05
436,2021-07-23,19.950000000000003
437,2021-07-24,20.19
438,2021-07-25,19.36
439,2021-07-26,18.98
440,2021-07-27,17.419999999999998
441,2021-07-28,16.71
442,2021-07-29,16.37
443,2021-07-30,15.79
444,2021-07-31,16.59
445,2021-08-01,17.150000000000002
446,2021-08-02,16.91
447,2021-08-03,17.07
448,2021-08-04,16.36
449,2021-08-05,16.97
450,2021-08-06,16.220000000000002
451,2021-08-07,14.18
452,2021-08-08,13.13
453,2021-08-09,12.06
454,2021-08-10,11.66
455,2021-08-11,11.45
456,2021-08-12,10.57
457,2021-08-13,10.56
458,2021-08-14,10.72
459,2021-08-15,10.6
460,2021-08-16,8.21
461,2021-08-17,8.43
462,2021-08-18,8.04
463,2021-08-19,7.33
464,2021-08-20,5.67
465,2021-08-21,6.32
466,2021-08-22,6.36
467,2021-08-23,7.68
468,2021-08-24,6.15
469,2021-08-25,5.89
470,2021-08-26,5.800000000000001
471,2021-08-27,6.84
472,2021-08-28,5.7700000000000005
473,2021-08-29,5.55
474,2021-08-30,4.82
475,2021-08-31,4.68
476,2021-09-01,4.17
477,2021-09-02,3.89
478,2021-09-03,3.87
479,2021-09-04,3.7
480,2021-09-05,3.77
481,2021-09-06,3.6
482,2021-09-07,3.58
483,2021-09-08,3.2099999999999995
484,2021-09-09,3.08
485,2021-09-10,2.8400000000000003
486,2021-09-11,2.76
487,2021-09-12,2.58
488,2021-09-13,2.85
489,2021-09-14,3.74
490,2021-09-15,4.22
491,2021-09-16,4.97
492,2021-09-17,5.140000000000001
493,2021-09-18,5.07
494,2021-09-19,5.57
495,2021-09-20,6.04
496,2021-09-21,4.51
497,2021-09-22,5.9
498,2021-09-23,5.7700000000000005
499,2021-09-24,4.62
500,2021-09-25,5.36
501,2021-09-26,5.09
502,2021-09-27,4.98
503,2021-09-28,6.29
504,2021-09-29,4.96
505,2021-09-30,4.79
506,2021-10-01,5.8500000000000005
507,2021-10-02,4.93
508,2021-10-03,4.7
509,2021-10-04,4.2
510,2021-10-05,3.46
511,2021-10-06,3.81
512,2021-10-07,2.95
513,2021-10-08,2.85
514,2021-10-09,2.86
515,2021-10-10,2.87
516,2021-10-11,2.97
517,2021-10-12,2.97
518,2021-10-13,2.28
519,2021-10-14,2.52
520,2021-10-15,1.96
521,2021-10-16,1.96
522,2021-10-17,2.0
523,2021-10-18,1.7399999999999998
524,2021-10-19,1.47
525,2021-10-20,1.47
526,2021-10-21,1.41
527,2021-10-22,1.52
528,2021-10-23,1.27
529,2021-10-24,1.39
530,2021-10-25,1.62
531,2021-10-26,1.66
532,2021-10-27,1.76
533,2021-10-28,1.53
534,2021-10-29,1.6
535,2021-10-30,1.5599999999999998
536,2021-10-31,1.54
537,2021-11-01,1.5599999999999998
538,2021-11-02,1.34
539,2021-11-03,1.27
540,2021-11-04,1.09
541,2021-11-05,0.8500000000000001
542,2021-11-06,1.21
543,2021-11-07,1.04
544,2021-11-08,1.0
545,2021-11-09,1.12
546,2021-11-10,1.16
547,2021-11-11,1.25
548,2021-11-12,1.29
549,2021-11-13,1.31
550,2021-11-14,1.29
551,2021-11-15,1.3
552,2021-11-16,1.4
553,2021-11-17,1.36
554,2021-11-18,1.3
555,2021-11-19,1.3
556,2021-11-20,1.08
557,2021-11-21,1.15
558,2021-11-22,1.14
559,2021-11-23,0.8699999999999999
560,2021-11-24,0.98
561,2021-11-25,1.02
562,2021-11-26,1.37
563,2021-11-27,1.13
564,2021-11-28,1.5699999999999998
