time	myId	metric_died_count	metric_new_hospitalized	metric_new_critical	metric_new_cases_asympt	metric_new_cases_sympt	metric_new_deaths	metric_new_recovered	metric_currently_infected	
0	d_1	0	0	0	12	8	0	0	0	
1	d_1	0	0	0	0	0	0	0	20	
2	d_1	0	0	0	0	0	0	0	20	
3	d_1	0	0	0	0	0	0	0	20	
4	d_1	0	0	0	0	0	0	0	20	
5	d_1	0	0	0	3	7	0	0	20	
6	d_1	0	0	0	6	4	0	0	30	
7	d_1	0	0	0	1	7	0	0	40	
8	d_1	0	1	0	1	6	0	8	48	
9	d_1	0	0	0	3	4	0	5	47	
10	d_1	0	0	0	3	7	0	6	49	
11	d_1	0	0	0	7	6	0	0	53	
12	d_1	0	0	0	3	13	0	0	66	
13	d_1	0	1	0	10	8	0	2	82	
14	d_1	0	1	0	11	14	0	3	98	
15	d_1	0	0	1	3	5	0	7	120	
16	d_1	0	0	1	14	16	0	7	121	
17	d_1	0	0	0	18	13	0	9	144	
18	d_1	0	0	0	15	25	0	7	166	
19	d_1	0	0	0	16	37	0	9	199	
20	d_1	0	2	0	19	37	0	11	243	
21	d_1	0	1	0	23	25	0	9	288	
22	d_1	0	0	0	23	27	0	28	327	
23	d_1	0	1	0	20	25	0	11	349	
24	d_1	0	0	0	26	46	0	19	383	
25	d_1	0	0	1	26	46	0	21	436	
26	d_1	0	0	0	32	59	0	35	487	
27	d_1	0	0	0	33	64	0	22	543	
28	d_1	0	2	0	38	72	0	43	618	
29	d_1	0	1	0	51	76	0	60	685	
30	d_1	0	2	1	59	99	0	52	752	
31	d_1	0	2	0	57	103	0	47	858	
32	d_1	0	3	1	74	112	0	41	971	
33	d_1	0	4	2	79	146	0	57	1116	
34	d_1	0	4	1	92	149	0	62	1284	
35	d_1	0	4	2	112	165	0	78	1463	
36	d_1	1	0	0	108	181	1	90	1662	
37	d_1	1	4	2	128	237	0	93	1860	
38	d_1	1	4	0	159	250	0	130	2132	
39	d_1	1	5	0	196	274	0	133	2411	
40	d_1	1	4	0	195	330	0	145	2748	
41	d_1	1	8	1	236	334	0	176	3128	
42	d_1	1	4	1	239	421	0	196	3522	
43	d_1	2	7	2	294	470	1	223	3986	
