,person_id,age,sex,household_id,district_id,economic_status,economic_activity_location_id,school_goers,manufacturing_workers
1,1,25,female,1,1,Default,1,0,0
2,2,25,male,1,1,Default,1,0,0
3,3,5,female,1,1,Default,1,0,0
4,4,5,male,1,1,Default,1,0,0
5,5,25,female,2,1,Default,1,0,0
6,6,25,male,2,1,Default,1,0,0
7,7,5,female,2,1,Default,1,0,0
8,8,5,male,2,1,Default,1,0,0
9,9,25,female,3,1,Default,1,0,0
10,10,25,male,3,1,Default,1,0,0
11,11,5,female,3,1,Default,1,0,0
12,12,5,male,3,1,Default,1,0,0
13,13,25,female,4,1,Default,1,0,0
14,14,25,male,4,1,Default,1,0,0
15,15,5,female,4,1,Default,1,0,0
16,16,5,male,4,1,Default,1,0,0
17,17,25,female,5,1,Default,1,0,0
18,18,25,male,5,1,Default,1,0,0
19,19,5,female,5,1,Default,1,0,0
20,20,5,male,5,1,Default,1,0,0
21,21,25,female,6,1,Default,1,0,0
22,22,25,male,6,1,Default,1,0,0
23,23,5,female,6,1,Default,1,0,0
24,24,5,male,6,1,Default,1,0,0
25,25,25,female,7,1,Default,1,0,0
26,26,25,male,7,1,Default,1,0,0
27,27,5,female,7,1,Default,1,0,0
28,28,5,male,7,1,Default,1,0,0
29,29,25,female,8,1,Default,1,0,0
30,30,25,male,8,1,Default,1,0,0
31,31,5,female,8,1,Default,1,0,0
32,32,5,male,8,1,Default,1,0,0
33,33,25,female,9,1,Default,1,0,0
34,34,25,male,9,1,Default,1,0,0
35,35,5,female,9,1,Default,1,0,0
36,36,5,male,9,1,Default,1,0,0
37,37,25,female,10,1,Default,1,0,0
38,38,25,male,10,1,Default,1,0,0
39,39,5,female,10,1,Default,1,0,0
40,40,5,male,10,1,Default,1,0,0
41,41,25,female,11,1,Default,1,0,0
42,42,25,male,11,1,Default,1,0,0
43,43,5,female,11,1,Default,1,0,0
44,44,5,male,11,1,Default,1,0,0
45,45,25,female,12,1,Default,1,0,0
46,46,25,male,12,1,Default,1,0,0
47,47,5,female,12,1,Default,1,0,0
48,48,5,male,12,1,Default,1,0,0
49,49,25,female,13,1,Default,1,0,0
50,50,25,male,13,1,Default,1,0,0
51,51,5,female,13,1,Default,1,0,0
52,52,5,male,13,1,Default,1,0,0
53,53,25,female,14,1,Default,1,0,0
54,54,25,male,14,1,Default,1,0,0
55,55,5,female,14,1,Default,1,0,0
56,56,5,male,14,1,Default,1,0,0
57,57,25,female,15,1,Default,1,0,0
58,58,25,male,15,1,Default,1,0,0
59,59,5,female,15,1,Default,1,0,0
60,60,5,male,15,1,Default,1,0,0
61,61,25,female,16,1,Default,1,0,0
62,62,25,male,16,1,Default,1,0,0
63,63,5,female,16,1,Default,1,0,0
64,64,5,male,16,1,Default,1,0,0
65,65,25,female,17,1,Default,1,0,0
66,66,25,male,17,1,Default,1,0,0
67,67,5,female,17,1,Default,1,0,0
68,68,5,male,17,1,Default,1,0,0
69,69,25,female,18,1,Default,1,0,0
70,70,25,male,18,1,Default,1,0,0
71,71,5,female,18,1,Default,1,0,0
72,72,5,male,18,1,Default,1,0,0
73,73,25,female,19,1,Default,1,0,0
74,74,25,male,19,1,Default,1,0,0
75,75,5,female,19,1,Default,1,0,0
76,76,5,male,19,1,Default,1,0,0
77,77,25,female,20,1,Default,1,0,0
78,78,25,male,20,1,Default,1,0,0
79,79,5,female,20,1,Default,1,0,0
80,80,5,male,20,1,Default,1,0,0
81,81,25,female,21,1,Default,1,0,0
82,82,25,male,21,1,Default,1,0,0
83,83,5,female,21,1,Default,1,0,0
84,84,5,male,21,1,Default,1,0,0
85,85,25,female,22,1,Default,1,0,0
86,86,25,male,22,1,Default,1,0,0
87,87,5,female,22,1,Default,1,0,0
88,88,5,male,22,1,Default,1,0,0
89,89,25,female,23,1,Default,1,0,0
90,90,25,male,23,1,Default,1,0,0
91,91,5,female,23,1,Default,1,0,0
92,92,5,male,23,1,Default,1,0,0
93,93,25,female,24,1,Default,1,0,0
94,94,25,male,24,1,Default,1,0,0
95,95,5,female,24,1,Default,1,0,0
96,96,5,male,24,1,Default,1,0,0
